0.109,-0.00060614,-0.0007561,0.085973
0.11,-0.00062777,-0.00078326,0.087514
0.111,-0.00064998,-0.00081113,0.089068
0.112,-0.00067276,-0.00083972,0.090635
0.113,-0.00069613,-0.00086905,0.092215
0.114,-0.0007201,-0.00089913,0.093808
0.115,-0.00074467,-0.00092997,0.095414
0.116,-0.00076986,-0.00096159,0.097032
0.117,-0.00079567,-0.00099399,0.098664
0.118,-0.00082212,-0.0010272,0.10031
0.119,-0.00084922,-0.0010612,0.10197
0.12,-0.00087697,-0.001096,0.10364
0.121,-0.00090539,-0.0011317,0.10532
0.122,-0.00093449,-0.0011682,0.10702
0.123,-0.00096427,-0.0012056,0.10873
0.124,-0.00099476,-0.0012438,0.11045
0.125,-0.0010259,-0.001283,0.11218
0.126,-0.0010579,-0.001323,0.11393
0.127,-0.0010905,-0.001364,0.11569
0.128,-0.0011239,-0.0014058,0.11746
0.129,-0.001158,-0.0014486,0.11925
0.13,-0.0011929,-0.0014924,0.12105
0.131,-0.0012285,-0.0015371,0.12286
0.132,-0.001265,-0.0015828,0.12468
0.133,-0.0013022,-0.0016295,0.12652
0.134,-0.0013403,-0.0016772,0.12837
0.135,-0.0013791,-0.001726,0.13023
0.136,-0.0014188,-0.0017757,0.1321
0.137,-0.0014593,-0.0018265,0.13399
0.138,-0.0015007,-0.0018784,0.13589
0.139,-0.001543,-0.0019313,0.1378
0.14,-0.0015861,-0.0019853,0.13972
0.141,-0.0016301,-0.0020404,0.14166
0.142,-0.001675,-0.0020967,0.14361
0.143,-0.0017208,-0.002154,0.14557
0.144,-0.0017675,-0.0022125,0.14754
0.145,-0.0018151,-0.0022722,0.14953
0.146,-0.0018637,-0.002333,0.15153
0.147,-0.0019133,-0.0023951,0.15354
0.148,-0.0019638,-0.0024583,0.15557
0.149,-0.0020153,-0.0025227,0.1576
0.15,-0.0020678,-0.0025884,0.15965
0.151,-0.0021213,-0.0026553,0.16171
0.152,-0.0021758,-0.0027235,0.16379
0.153,-0.0022313,-0.0027929,0.16587
0.154,-0.0022879,-0.0028637,0.16797
0.155,-0.0023455,-0.0029357,0.17008
0.156,-0.0024042,-0.0030091,0.1722
0.157,-0.002464,-0.0030837,0.17434
0.158,-0.0025248,-0.0031598,0.17648
0.159,-0.0025868,-0.0032372,0.17864
0.16,-0.0026499,-0.0033159,0.18081
0.161,-0.0027141,-0.0033961,0.183
0.162,-0.0027794,-0.0034777,0.18519
0.163,-0.002846,-0.0035607,0.1874
0.164,-0.0029136,-0.0036451,0.18962
0.165,-0.0029825,-0.003731,0.19185
0.166,-0.0030525,-0.0038184,0.1941
0.167,-0.0031238,-0.0039072,0.19635
0.168,-0.0031962,-0.0039975,0.19862
0.169,-0.0032699,-0.0040894,0.2009
0.17,-0.0033449,-0.0041828,0.20319
0.171,-0.0034211,-0.0042777,0.2055
0.172,-0.0034986,-0.0043742,0.20781
0.173,-0.0035774,-0.0044723,0.21014
0.174,-0.0036574,-0.004572,0.21248
0.175,-0.0037388,-0.0046732,0.21483
0.176,-0.0038215,-0.0047761,0.2172
0.177,-0.0039056,-0.0048807,0.21957
0.178,-0.003991,-0.0049869,0.22196
0.179,-0.0040777,-0.0050948,0.22436
