Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K)
290.12,6.5,833.48,0.0011998,194.51,202.3,0.83153,0.91675,2.5606,472.03,0.67714,76.547,0.087602
290.15,6.5,833.28,0.0012001,194.58,202.38,0.83178,0.91678,2.562,471.77,0.67837,76.511,0.08757
290.18,6.5,833.09,0.0012004,194.65,202.45,0.83202,0.91681,2.5634,471.51,0.6796,76.475,0.087538
290.2,6.5,832.89,0.0012006,194.71,202.52,0.83227,0.91684,2.5648,471.25,0.68084,76.439,0.087506
290.23,6.5,832.7,0.0012009,194.78,202.59,0.83252,0.91688,2.5662,470.99,0.68208,76.403,0.087474
290.26,6.5,832.5,0.0012012,194.85,202.66,0.83276,0.91691,2.5676,470.73,0.68332,76.366,0.087442
290.29,6.5,832.3,0.0012015,194.92,202.73,0.83301,0.91694,2.5689,470.48,0.68457,76.33,0.08741
290.31,6.5,832.11,0.0012018,194.99,202.8,0.83326,0.91698,2.5703,470.22,0.68581,76.294,0.087378
290.34,6.5,831.91,0.0012021,195.06,202.88,0.8335,0.91701,2.5717,469.96,0.68706,76.258,0.087346
290.37,6.5,831.71,0.0012023,195.13,202.95,0.83375,0.91704,2.5731,469.7,0.68832,76.221,0.087314
290.4,6.5,831.52,0.0012026,195.2,203.02,0.83399,0.91707,2.5746,469.44,0.68957,76.185,0.087282
290.43,6.5,831.32,0.0012029,195.27,203.09,0.83424,0.91711,2.576,469.18,0.69083,76.149,0.087249
290.45,6.5,831.12,0.0012032,195.34,203.16,0.83449,0.91714,2.5774,468.92,0.69209,76.112,0.087217
290.48,6.5,830.92,0.0012035,195.41,203.23,0.83474,0.91718,2.5788,468.66,0.69336,76.076,0.087185
290.51,6.5,830.73,0.0012038,195.48,203.31,0.83498,0.91721,2.5802,468.4,0.69462,76.04,0.087153
290.54,6.5,830.53,0.0012041,195.55,203.38,0.83523,0.91724,2.5817,468.14,0.69589,76.003,0.087121
290.56,6.5,830.33,0.0012043,195.62,203.45,0.83548,0.91728,2.5831,467.88,0.69717,75.967,0.087089
290.59,6.5,830.13,0.0012046,195.69,203.52,0.83573,0.91731,2.5845,467.62,0.69844,75.931,0.087057
290.62,6.5,829.93,0.0012049,195.76,203.59,0.83597,0.91734,2.586,467.36,0.69972,75.894,0.087025
290.65,6.5,829.73,0.0012052,195.83,203.67,0.83622,0.91738,2.5874,467.1,0.701,75.858,0.086992
290.68,6.5,829.53,0.0012055,195.9,203.74,0.83647,0.91741,2.5889,466.83,0.70229,75.821,0.08696
290.7,6.5,829.33,0.0012058,195.97,203.81,0.83672,0.91745,2.5903,466.57,0.70357,75.785,0.086928
290.73,6.5,829.13,0.0012061,196.04,203.88,0.83696,0.91748,2.5918,466.31,0.70486,75.749,0.086896
290.76,6.5,828.93,0.0012064,196.11,203.95,0.83721,0.91752,2.5932,466.05,0.70616,75.712,0.086864
290.79,6.5,828.73,0.0012067,196.18,204.03,0.83746,0.91755,2.5947,465.79,0.70745,75.676,0.086832
290.82,6.5,828.53,0.0012069,196.25,204.1,0.83771,0.91759,2.5962,465.52,0.70875,75.639,0.086799
290.84,6.5,828.33,0.0012072,196.32,204.17,0.83796,0.91762,2.5977,465.26,0.71005,75.603,0.086767
290.87,6.5,828.13,0.0012075,196.39,204.24,0.83821,0.91766,2.5991,465,0.71136,75.566,0.086735
290.9,6.5,827.93,0.0012078,196.46,204.32,0.83846,0.91769,2.6006,464.74,0.71267,75.53,0.086703
290.93,6.5,827.73,0.0012081,196.54,204.39,0.8387,0.91773,2.6021,464.47,0.71398,75.493,0.086671
290.95,6.5,827.53,0.0012084,196.61,204.46,0.83895,0.91776,2.6036,464.21,0.71529,75.456,0.086639
