Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K)
295.05,6.5,795.45,0.0012572,207.47,215.64,0.87712,0.9246,2.887,422.93,0.94895,69.882,0.081844
295.07,6.5,795.21,0.0012575,207.55,215.72,0.87739,0.92466,2.8895,422.63,0.95089,69.843,0.081811
295.1,6.5,794.97,0.0012579,207.63,215.8,0.87766,0.92472,2.892,422.32,0.95282,69.803,0.081778
295.13,6.5,794.73,0.0012583,207.71,215.88,0.87793,0.92478,2.8946,422.02,0.95477,69.763,0.081745
295.16,6.5,794.49,0.0012587,207.78,215.97,0.87821,0.92484,2.8971,421.72,0.95672,69.724,0.081712
295.19,6.5,794.25,0.001259,207.86,216.05,0.87848,0.9249,2.8996,421.42,0.95867,69.684,0.081679
295.21,6.5,794.01,0.0012594,207.94,216.13,0.87875,0.92496,2.9022,421.11,0.96064,69.644,0.081646
295.24,6.5,793.77,0.0012598,208.02,216.21,0.87903,0.92502,2.9048,420.81,0.9626,69.604,0.081613
295.27,6.5,793.53,0.0012602,208.1,216.29,0.8793,0.92509,2.9073,420.5,0.96458,69.565,0.08158
295.3,6.5,793.29,0.0012606,208.18,216.37,0.87958,0.92515,2.9099,420.2,0.96656,69.525,0.081546
295.32,6.5,793.05,0.001261,208.25,216.45,0.87985,0.92521,2.9125,419.9,0.96854,69.485,0.081513
295.35,6.5,792.8,0.0012613,208.33,216.53,0.88012,0.92527,2.9151,419.59,0.97053,69.445,0.08148
295.38,6.5,792.56,0.0012617,208.41,216.61,0.8804,0.92534,2.9178,419.29,0.97253,69.405,0.081447
295.41,6.5,792.32,0.0012621,208.49,216.69,0.88067,0.9254,2.9204,418.98,0.97454,69.365,0.081414
295.44,6.5,792.08,0.0012625,208.57,216.78,0.88095,0.92546,2.923,418.67,0.97655,69.325,0.081381
295.46,6.5,791.83,0.0012629,208.65,216.86,0.88123,0.92553,2.9257,418.37,0.97856,69.285,0.081347
295.49,6.5,791.59,0.0012633,208.73,216.94,0.8815,0.92559,2.9284,418.06,0.98059,69.245,0.081314
295.52,6.5,791.34,0.0012637,208.81,217.02,0.88178,0.92565,2.931,417.75,0.98261,69.205,0.081281
295.55,6.5,791.1,0.0012641,208.89,217.1,0.88205,0.92572,2.9337,417.45,0.98465,69.165,0.081248
295.57,6.5,790.85,0.0012645,208.96,217.18,0.88233,0.92578,2.9364,417.14,0.98669,69.124,0.081215
295.6,6.5,790.61,0.0012648,209.04,217.26,0.88261,0.92585,2.9391,416.83,0.98874,69.084,0.081182
295.63,6.5,790.36,0.0012652,209.12,217.35,0.88288,0.92591,2.9419,416.52,0.99079,69.044,0.081148
295.66,6.5,790.12,0.0012656,209.2,217.43,0.88316,0.92598,2.9446,416.21,0.99285,69.004,0.081115
295.69,6.5,789.87,0.001266,209.28,217.51,0.88344,0.92604,2.9474,415.9,0.99492,68.964,0.081082
295.71,6.5,789.62,0.0012664,209.36,217.59,0.88372,0.92611,2.9501,415.59,0.997,68.923,0.081049
295.74,6.5,789.38,0.0012668,209.44,217.67,0.88399,0.92618,2.9529,415.28,0.99908,68.883,0.081015
295.77,6.5,789.13,0.0012672,209.52,217.76,0.88427,0.92624,2.9557,414.97,1.0012,68.842,0.080982
295.8,6.5,788.88,0.0012676,209.6,217.84,0.88455,0.92631,2.9585,414.66,1.0033,68.802,0.080949
295.83,6.5,788.63,0.001268,209.68,217.92,0.88483,0.92638,2.9613,414.35,1.0054,68.762,0.080916
295.85,6.5,788.39,0.0012684,209.76,218,0.88511,0.92644,2.9641,414.04,1.0075,68.721,0.080882
295.88,6.5,788.14,0.0012688,209.84,218.09,0.88539,0.92651,2.9669,413.73,1.0096,68.681,0.080849
295.91,6.5,787.89,0.0012692,209.92,218.17,0.88566,0.92658,2.9698,413.41,1.0117,68.64,0.080816
295.94,6.5,787.64,0.0012696,210,218.25,0.88594,0.92665,2.9726,413.1,1.0138,68.599,0.080783
295.96,6.5,787.39,0.00127,210.08,218.33,0.88622,0.92672,2.9755,412.79,1.016,68.559,0.080749
295.99,6.5,787.14,0.0012704,210.16,218.42,0.8865,0.92678,2.9784,412.47,1.0181,68.518,0.080716
296.02,6.5,786.89,0.0012708,210.24,218.5,0.88678,0.92685,2.9813,412.16,1.0202,68.477,0.080683
296.05,6.5,786.63,0.0012712,210.32,218.58,0.88706,0.92692,2.9842,411.85,1.0224,68.437,0.080649
296.08,6.5,786.38,0.0012716,210.4,218.67,0.88735,0.92699,2.9871,411.53,1.0246,68.396,0.080616
296.1,6.5,786.13,0.0012721,210.48,218.75,0.88763,0.92706,2.9901,411.22,1.0267,68.355,0.080583
296.13,6.5,785.88,0.0012725,210.56,218.83,0.88791,0.92713,2.993,410.9,1.0289,68.314,0.080549
296.16,6.5,785.63,0.0012729,210.64,218.92,0.88819,0.9272,2.996,410.59,1.0311,68.273,0.080516
296.19,6.5,785.37,0.0012733,210.72,219,0.88847,0.92727,2.999,410.27,1.0333,68.233,0.080483
296.21,6.5,785.12,0.0012737,210.8,219.08,0.88875,0.92734,3.002,409.95,1.0355,68.192,0.080449
296.24,6.5,784.86,0.0012741,210.89,219.17,0.88903,0.92742,3.005,409.64,1.0377,68.151,0.080416
296.27,6.5,784.61,0.0012745,210.97,219.25,0.88932,0.92749,3.008,409.32,1.0399,68.11,0.080383
296.3,6.5,784.36,0.0012749,211.05,219.33,0.8896,0.92756,3.011,409,1.0421,68.069,0.080349
296.33,6.5,784.1,0.0012753,211.13,219.42,0.88988,0.92763,3.0141,408.68,1.0443,68.027,0.080316
296.35,6.5,783.84,0.0012758,211.21,219.5,0.89017,0.9277,3.0171,408.36,1.0466,67.986,0.080282
296.38,6.5,783.59,0.0012762,211.29,219.59,0.89045,0.92778,3.0202,408.04,1.0488,67.945,0.080249
296.41,6.5,783.33,0.0012766,211.37,219.67,0.89073,0.92785,3.0233,407.72,1.0511,67.904,0.080216
296.44,6.5,783.08,0.001277,211.45,219.75,0.89102,0.92792,3.0264,407.4,1.0533,67.863,0.080182
296.47,6.5,782.82,0.0012774,211.54,219.84,0.8913,0.928,3.0295,407.08,1.0556,67.822,0.080149
296.49,6.5,782.56,0.0012779,211.62,219.92,0.89159,0.92807,3.0327,406.76,1.0578,67.78,0.080115
296.52,6.5,782.3,0.0012783,211.7,220.01,0.89187,0.92814,3.0358,406.44,1.0601,67.739,0.080082
296.55,6.5,782.04,0.0012787,211.78,220.09,0.89216,0.92822,3.039,406.12,1.0624,67.698,0.080049
296.58,6.5,781.78,0.0012791,211.86,220.18,0.89244,0.92829,3.0422,405.8,1.0647,67.656,0.080015
296.6,6.5,781.53,0.0012795,211.94,220.26,0.89273,0.92837,3.0454,405.48,1.067,67.615,0.079982
296.63,6.5,781.27,0.00128,212.03,220.35,0.89301,0.92844,3.0486,405.15,1.0693,67.573,0.079948
296.66,6.5,781.01,0.0012804,212.11,220.43,0.8933,0.92852,3.0518,404.83,1.0716,67.532,0.079915
296.69,6.5,780.74,0.0012808,212.19,220.52,0.89359,0.9286,3.0551,404.51,1.074,67.49,0.079881
296.72,6.5,780.48,0.0012813,212.27,220.6,0.89387,0.92867,3.0583,404.18,1.0763,67.448,0.079848
296.74,6.5,780.22,0.0012817,212.36,220.69,0.89416,0.92875,3.0616,403.86,1.0786,67.407,0.079814
296.77,6.5,779.96,0.0012821,212.44,220.77,0.89445,0.92883,3.0649,403.53,1.081,67.365,0.079781
296.8,6.5,779.7,0.0012825,212.52,220.86,0.89473,0.92891,3.0682,403.21,1.0833,67.323,0.079747
296.83,6.5,779.44,0.001283,212.6,220.94,0.89502,0.92898,3.0715,402.88,1.0857,67.282,0.079714
296.86,6.5,779.17,0.0012834,212.69,221.03,0.89531,0.92906,3.0749,402.56,1.0881,67.24,0.07968
296.88,6.5,778.91,0.0012838,212.77,221.11,0.8956,0.92914,3.0782,402.23,1.0905,67.198,0.079647
296.91,6.5,778.64,0.0012843,212.85,221.2,0.89589,0.92922,3.0816,401.9,1.0929,67.156,0.079613
296.94,6.5,778.38,0.0012847,212.93,221.29,0.89618,0.9293,3.085,401.57,1.0953,67.114,0.07958
296.97,6.5,778.11,0.0012852,213.02,221.37,0.89647,0.92938,3.0884,401.25,1.0977,67.072,0.079546
296.99,6.5,777.85,0.0012856,213.1,221.46,0.89676,0.92946,3.0918,400.92,1.1001,67.03,0.079513
297.02,6.5,777.58,0.001286,213.18,221.54,0.89705,0.92954,3.0952,400.59,1.1025,66.988,0.079479
297.05,6.5,777.32,0.0012865,213.27,221.63,0.89734,0.92962,3.0987,400.26,1.1049,66.946,0.079446
297.08,6.5,777.05,0.0012869,213.35,221.72,0.89763,0.9297,3.1022,399.93,1.1074,66.904,0.079412
297.11,6.5,776.78,0.0012874,213.43,221.8,0.89792,0.92978,3.1057,399.6,1.1098,66.862,0.079379
297.13,6.5,776.51,0.0012878,213.52,221.89,0.89821,0.92986,3.1092,399.27,1.1123,66.819,0.079345
297.16,6.5,776.25,0.0012883,213.6,221.98,0.8985,0.92994,3.1127,398.94,1.1148,66.777,0.079311
297.19,6.5,775.98,0.0012887,213.69,222.06,0.89879,0.93003,3.1163,398.6,1.1172,66.735,0.079278
297.22,6.5,775.71,0.0012891,213.77,222.15,0.89908,0.93011,3.1198,398.27,1.1197,66.692,0.079244
297.24,6.5,775.44,0.0012896,213.85,222.24,0.89938,0.93019,3.1234,397.94,1.1222,66.65,0.079211
297.27,6.5,775.17,0.00129,213.94,222.32,0.89967,0.93028,3.127,397.61,1.1247,66.608,0.079177
297.3,6.5,774.9,0.0012905,214.02,222.41,0.89996,0.93036,3.1306,397.27,1.1272,66.565,0.079143
297.33,6.5,774.63,0.0012909,214.11,222.5,0.90025,0.93044,3.1343,396.94,1.1297,66.523,0.07911
297.36,6.5,774.35,0.0012914,214.19,222.58,0.90055,0.93053,3.1379,396.6,1.1323,66.48,0.079076
297.38,6.5,774.08,0.0012919,214.27,222.67,0.90084,0.93061,3.1416,396.27,1.1348,66.437,0.079043
297.41,6.5,773.81,0.0012923,214.36,222.76,0.90114,0.9307,3.1453,395.93,1.1374,66.395,0.079009
297.44,6.5,773.54,0.0012928,214.44,222.85,0.90143,0.93078,3.149,395.6,1.1399,66.352,0.078975
297.47,6.5,773.26,0.0012932,214.53,222.93,0.90173,0.93087,3.1528,395.26,1.1425,66.309,0.078942
297.5,6.5,772.99,0.0012937,214.61,223.02,0.90202,0.93096,3.1565,394.92,1.1451,66.266,0.078908
297.52,6.5,772.71,0.0012941,214.7,223.11,0.90232,0.93104,3.1603,394.59,1.1477,66.224,0.078874
297.55,6.5,772.44,0.0012946,214.78,223.2,0.90261,0.93113,3.1641,394.25,1.1502,66.181,0.078841
297.58,6.5,772.16,0.0012951,214.87,223.29,0.90291,0.93122,3.1679,393.91,1.1529,66.138,0.078807
297.61,6.5,771.89,0.0012955,214.95,223.37,0.9032,0.93131,3.1717,393.57,1.1555,66.095,0.078774
297.63,6.5,771.61,0.001296,215.04,223.46,0.9035,0.9314,3.1756,393.23,1.1581,66.052,0.07874
297.66,6.5,771.33,0.0012965,215.12,223.55,0.9038,0.93148,3.1795,392.89,1.1607,66.009,0.078706
297.69,6.5,771.06,0.0012969,215.21,223.64,0.9041,0.93157,3.1834,392.55,1.1634,65.965,0.078673
297.72,6.5,770.78,0.0012974,215.3,223.73,0.90439,0.93166,3.1873,392.21,1.166,65.922,0.078639
297.75,6.5,770.5,0.0012979,215.38,223.82,0.90469,0.93175,3.1913,391.87,1.1687,65.879,0.078605
297.77,6.5,770.22,0.0012983,215.47,223.91,0.90499,0.93184,3.1952,391.52,1.1714,65.836,0.078571
297.8,6.5,769.94,0.0012988,215.55,224,0.90529,0.93194,3.1992,391.18,1.1741,65.792,0.078538
297.83,6.5,769.66,0.0012993,215.64,224.08,0.90559,0.93203,3.2032,390.84,1.1768,65.749,0.078504
297.86,6.5,769.38,0.0012998,215.73,224.17,0.90589,0.93212,3.2072,390.49,1.1795,65.706,0.07847
297.88,6.5,769.1,0.0013002,215.81,224.26,0.90619,0.93221,3.2113,390.15,1.1822,65.662,0.078437
297.91,6.5,768.81,0.0013007,215.9,224.35,0.90649,0.9323,3.2154,389.81,1.1849,65.619,0.078403
297.94,6.5,768.53,0.0013012,215.98,224.44,0.90679,0.9324,3.2195,389.46,1.1876,65.575,0.078369
297.97,6.5,768.25,0.0013017,216.07,224.53,0.90709,0.93249,3.2236,389.11,1.1904,65.531,0.078336
298,6.5,767.97,0.0013021,216.16,224.62,0.90739,0.93258,3.2277,388.77,1.1931,65.488,0.078302
298.02,6.5,767.68,0.0013026,216.24,224.71,0.90769,0.93268,3.2319,388.42,1.1959,65.444,0.078268
298.05,6.5,767.4,0.0013031,216.33,224.8,0.90799,0.93277,3.2361,388.07,1.1987,65.4,0.078234
298.08,6.5,767.11,0.0013036,216.42,224.89,0.9083,0.93287,3.2403,387.73,1.2015,65.356,0.078201
298.11,6.5,766.83,0.0013041,216.51,224.98,0.9086,0.93296,3.2446,387.38,1.2043,65.312,0.078167
298.14,6.5,766.54,0.0013046,216.59,225.07,0.9089,0.93306,3.2488,387.03,1.2071,65.268,0.078133
298.16,6.5,766.25,0.0013051,216.68,225.16,0.90921,0.93316,3.2531,386.68,1.2099,65.224,0.078099
298.19,6.5,765.96,0.0013055,216.77,225.25,0.90951,0.93325,3.2574,386.33,1.2128,65.18,0.078066
298.22,6.5,765.68,0.001306,216.85,225.34,0.90981,0.93335,3.2618,385.98,1.2156,65.136,0.078032
298.25,6.5,765.39,0.0013065,216.94,225.43,0.91012,0.93345,3.2661,385.63,1.2185,65.092,0.077998
298.27,6.5,765.1,0.001307,217.03,225.53,0.91042,0.93355,3.2705,385.27,1.2213,65.048,0.077964
298.3,6.5,764.81,0.0013075,217.12,225.62,0.91073,0.93365,3.2749,384.92,1.2242,65.004,0.077931
298.33,6.5,764.52,0.001308,217.21,225.71,0.91103,0.93375,3.2794,384.57,1.2271,64.959,0.077897
298.36,6.5,764.23,0.0013085,217.29,225.8,0.91134,0.93385,3.2839,384.21,1.23,64.915,0.077863
298.39,6.5,763.94,0.001309,217.38,225.89,0.91165,0.93395,3.2883,383.86,1.2329,64.87,0.077829
298.41,6.5,763.64,0.0013095,217.47,225.98,0.91195,0.93405,3.2929,383.5,1.2358,64.826,0.077796
298.44,6.5,763.35,0.00131,217.56,226.07,0.91226,0.93415,3.2974,383.15,1.2388,64.781,0.077762
298.47,6.5,763.06,0.0013105,217.65,226.17,0.91257,0.93425,3.302,382.79,1.2417,64.737,0.077728
298.5,6.5,762.76,0.001311,217.74,226.26,0.91288,0.93435,3.3066,382.44,1.2447,64.692,0.077694
298.53,6.5,762.47,0.0013115,217.82,226.35,0.91319,0.93446,3.3112,382.08,1.2477,64.647,0.07766
298.55,6.5,762.17,0.001312,217.91,226.44,0.9135,0.93456,3.3159,381.72,1.2507,64.603,0.077627
298.58,6.5,761.88,0.0013125,218,226.53,0.9138,0.93466,3.3206,381.36,1.2537,64.558,0.077593
298.61,6.5,761.58,0.0013131,218.09,226.63,0.91411,0.93477,3.3253,381,1.2567,64.513,0.077559
298.64,6.5,761.28,0.0013136,218.18,226.72,0.91442,0.93487,3.33,380.64,1.2597,64.468,0.077525
298.66,6.5,760.99,0.0013141,218.27,226.81,0.91473,0.93498,3.3348,380.28,1.2627,64.423,0.077491
298.69,6.5,760.69,0.0013146,218.36,226.91,0.91505,0.93508,3.3396,379.92,1.2658,64.378,0.077458
298.72,6.5,760.39,0.0013151,218.45,227,0.91536,0.93519,3.3445,379.56,1.2688,64.333,0.077424
298.75,6.5,760.09,0.0013156,218.54,227.09,0.91567,0.9353,3.3493,379.2,1.2719,64.287,0.07739
298.78,6.5,759.79,0.0013162,218.63,227.18,0.91598,0.93541,3.3542,378.83,1.275,64.242,0.077356
298.8,6.5,759.49,0.0013167,218.72,227.28,0.91629,0.93551,3.3592,378.47,1.2781,64.197,0.077322
298.83,6.5,759.18,0.0013172,218.81,227.37,0.91661,0.93562,3.3641,378.11,1.2812,64.151,0.077289
298.86,6.5,758.88,0.0013177,218.9,227.47,0.91692,0.93573,3.3691,377.74,1.2843,64.106,0.077255
298.89,6.5,758.58,0.0013183,218.99,227.56,0.91723,0.93584,3.3741,377.38,1.2875,64.06,0.077221
298.91,6.5,758.28,0.0013188,219.08,227.65,0.91755,0.93595,3.3792,377.01,1.2906,64.015,0.077187
298.94,6.5,757.97,0.0013193,219.17,227.75,0.91786,0.93606,3.3843,376.64,1.2938,63.969,0.077153
298.97,6.5,757.67,0.0013198,219.26,227.84,0.91818,0.93617,3.3894,376.28,1.297,63.924,0.07712
299,6.5,757.36,0.0013204,219.35,227.94,0.9185,0.93629,3.3945,375.91,1.3002,63.878,0.077086
299.03,6.5,757.05,0.0013209,219.44,228.03,0.91881,0.9364,3.3997,375.54,1.3034,63.832,0.077052
299.05,6.5,756.75,0.0013214,219.54,228.13,0.91913,0.93651,3.4049,375.17,1.3066,63.786,0.077018
299.08,6.5,756.44,0.001322,219.63,228.22,0.91945,0.93663,3.4102,374.8,1.3098,63.74,0.076984
299.11,6.5,756.13,0.0013225,219.72,228.32,0.91976,0.93674,3.4155,374.43,1.3131,63.694,0.076951
299.14,6.5,755.82,0.0013231,219.81,228.41,0.92008,0.93685,3.4208,374.06,1.3164,63.648,0.076917
299.17,6.5,755.51,0.0013236,219.9,228.51,0.9204,0.93697,3.4262,373.68,1.3196,63.602,0.076883
299.19,6.5,755.2,0.0013242,219.99,228.6,0.92072,0.93709,3.4315,373.31,1.3229,63.555,0.076849
299.22,6.5,754.89,0.0013247,220.09,228.7,0.92104,0.9372,3.437,372.94,1.3263,63.509,0.076816
299.25,6.5,754.58,0.0013252,220.18,228.79,0.92136,0.93732,3.4424,372.56,1.3296,63.463,0.076782
299.28,6.5,754.26,0.0013258,220.27,228.89,0.92168,0.93744,3.4479,372.19,1.3329,63.416,0.076748
299.3,6.5,753.95,0.0013263,220.36,228.98,0.922,0.93756,3.4535,371.81,1.3363,63.37,0.076714
299.33,6.5,753.63,0.0013269,220.46,229.08,0.92232,0.93768,3.4591,371.44,1.3396,63.323,0.07668
299.36,6.5,753.32,0.0013275,220.55,229.18,0.92264,0.9378,3.4647,371.06,1.343,63.276,0.076647
299.39,6.5,753,0.001328,220.64,229.27,0.92296,0.93792,3.4703,370.68,1.3464,63.23,0.076613
299.42,6.5,752.69,0.0013286,220.73,229.37,0.92329,0.93804,3.476,370.3,1.3498,63.183,0.076579
299.44,6.5,752.37,0.0013291,220.83,229.47,0.92361,0.93816,3.4818,369.92,1.3533,63.136,0.076545
299.47,6.5,752.05,0.0013297,220.92,229.56,0.92393,0.93828,3.4875,369.54,1.3567,63.089,0.076512
299.5,6.5,751.73,0.0013303,221.01,229.66,0.92426,0.9384,3.4933,369.16,1.3602,63.042,0.076478
299.53,6.5,751.41,0.0013308,221.11,229.76,0.92458,0.93853,3.4992,368.78,1.3636,62.995,0.076444
299.55,6.5,751.09,0.0013314,221.2,229.86,0.92491,0.93865,3.5051,368.4,1.3671,62.948,0.07641
299.58,6.5,750.77,0.001332,221.3,229.95,0.92524,0.93878,3.511,368.02,1.3707,62.9,0.076377
299.61,6.5,750.45,0.0013325,221.39,230.05,0.92556,0.9389,3.517,367.63,1.3742,62.853,0.076343
299.64,6.5,750.13,0.0013331,221.48,230.15,0.92589,0.93903,3.523,367.25,1.3777,62.806,0.076309
299.67,6.5,749.8,0.0013337,221.58,230.25,0.92622,0.93916,3.5291,366.86,1.3813,62.758,0.076275
299.69,6.5,749.48,0.0013343,221.67,230.35,0.92654,0.93928,3.5352,366.48,1.3849,62.711,0.076242
299.72,6.5,749.15,0.0013348,221.77,230.44,0.92687,0.93941,3.5414,366.09,1.3885,62.663,0.076208
299.75,6.5,748.83,0.0013354,221.86,230.54,0.9272,0.93954,3.5475,365.7,1.3921,62.615,0.076174
299.78,6.5,748.5,0.001336,221.96,230.64,0.92753,0.93967,3.5538,365.31,1.3957,62.567,0.076141
299.81,6.5,748.17,0.0013366,222.05,230.74,0.92786,0.9398,3.5601,364.92,1.3993,62.52,0.076107
299.83,6.5,747.84,0.0013372,222.15,230.84,0.92819,0.93993,3.5664,364.53,1.403,62.472,0.076073
299.86,6.5,747.51,0.0013378,222.24,230.94,0.92852,0.94007,3.5728,364.14,1.4067,62.423,0.07604
299.89,6.5,747.18,0.0013384,222.34,231.04,0.92886,0.9402,3.5792,363.75,1.4104,62.375,0.076006
299.92,6.5,746.85,0.001339,222.44,231.14,0.92919,0.94033,3.5857,363.36,1.4141,62.327,0.075972
299.94,6.5,746.52,0.0013396,222.53,231.24,0.92952,0.94047,3.5922,362.96,1.4178,62.279,0.075939
299.97,6.5,746.18,0.0013402,222.63,231.34,0.92986,0.9406,3.5988,362.57,1.4216,62.23,0.075905
300,6.5,745.85,0.0013408,222.72,231.44,0.93019,0.94074,3.6054,362.17,1.4254,62.182,0.075871
300.03,6.5,745.52,0.0013414,222.82,231.54,0.93052,0.94087,3.6121,361.78,1.4291,62.133,0.075838
300.06,6.5,745.18,0.001342,222.92,231.64,0.93086,0.94101,3.6188,361.38,1.433,62.085,0.075804
300.08,6.5,744.84,0.0013426,223.01,231.74,0.9312,0.94115,3.6256,360.98,1.4368,62.036,0.075771
300.11,6.5,744.51,0.0013432,223.11,231.84,0.93153,0.94129,3.6324,360.58,1.4406,61.987,0.075737
300.14,6.5,744.17,0.0013438,223.21,231.94,0.93187,0.94143,3.6393,360.19,1.4445,61.938,0.075703
300.17,6.5,743.83,0.0013444,223.31,232.04,0.93221,0.94157,3.6462,359.78,1.4484,61.889,0.07567
300.2,6.5,743.49,0.001345,223.4,232.15,0.93255,0.94171,3.6532,359.38,1.4523,61.84,0.075636
300.22,6.5,743.15,0.0013456,223.5,232.25,0.93288,0.94185,3.6603,358.98,1.4562,61.791,0.075603
300.25,6.5,742.8,0.0013463,223.6,232.35,0.93322,0.942,3.6674,358.58,1.4601,61.742,0.075569
300.28,6.5,742.46,0.0013469,223.7,232.45,0.93356,0.94214,3.6745,358.17,1.4641,61.692,0.075536
300.31,6.5,742.12,0.0013475,223.8,232.55,0.93391,0.94229,3.6817,357.77,1.4681,61.643,0.075502
300.33,6.5,741.77,0.0013481,223.89,232.66,0.93425,0.94243,3.689,357.36,1.4721,61.593,0.075469
300.36,6.5,741.43,0.0013488,223.99,232.76,0.93459,0.94258,3.6963,356.96,1.4761,61.544,0.075435
300.39,6.5,741.08,0.0013494,224.09,232.86,0.93493,0.94273,3.7037,356.55,1.4802,61.494,0.075402
300.42,6.5,740.73,0.00135,224.19,232.97,0.93528,0.94287,3.7112,356.14,1.4842,61.444,0.075369
300.45,6.5,740.38,0.0013507,224.29,233.07,0.93562,0.94302,3.7187,355.73,1.4883,61.394,0.075335
300.47,6.5,740.03,0.0013513,224.39,233.17,0.93596,0.94317,3.7263,355.32,1.4924,61.344,0.075302
300.5,6.5,739.68,0.0013519,224.49,233.28,0.93631,0.94332,3.7339,354.91,1.4966,61.294,0.075269
300.53,6.5,739.33,0.0013526,224.59,233.38,0.93666,0.94348,3.7416,354.5,1.5007,61.244,0.075235
300.56,6.5,738.97,0.0013532,224.69,233.48,0.937,0.94363,3.7494,354.08,1.5049,61.193,0.075202
300.58,6.5,738.62,0.0013539,224.79,233.59,0.93735,0.94378,3.7572,353.67,1.5091,61.143,0.075169
300.61,6.5,738.26,0.0013545,224.89,233.69,0.9377,0.94394,3.7651,353.25,1.5133,61.092,0.075135
300.64,6.5,737.91,0.0013552,224.99,233.8,0.93805,0.94409,3.7731,352.84,1.5176,61.042,0.075102
300.67,6.5,737.55,0.0013558,225.09,233.9,0.9384,0.94425,3.7811,352.42,1.5218,60.991,0.075069
300.7,6.5,737.19,0.0013565,225.19,234.01,0.93875,0.94441,3.7892,352,1.5261,60.94,0.075036
300.72,6.5,736.83,0.0013572,225.29,234.11,0.9391,0.94457,3.7973,351.58,1.5304,60.889,0.075003
300.75,6.5,736.47,0.0013578,225.39,234.22,0.93945,0.94472,3.8056,351.16,1.5348,60.838,0.074969
300.78,6.5,736.11,0.0013585,225.5,234.33,0.9398,0.94489,3.8139,350.74,1.5391,60.787,0.074936
300.81,6.5,735.75,0.0013592,225.6,234.43,0.94016,0.94505,3.8223,350.32,1.5435,60.736,0.074903
300.84,6.5,735.38,0.0013598,225.7,234.54,0.94051,0.94521,3.8307,349.9,1.5479,60.684,0.07487
300.86,6.5,735.02,0.0013605,225.8,234.65,0.94087,0.94537,3.8393,349.47,1.5524,60.633,0.074837
300.89,6.5,734.65,0.0013612,225.91,234.75,0.94122,0.94554,3.8479,349.04,1.5568,60.581,0.074804
300.92,6.5,734.28,0.0013619,226.01,234.86,0.94158,0.9457,3.8566,348.62,1.5613,60.529,0.074771
300.95,6.5,733.91,0.0013626,226.11,234.97,0.94193,0.94587,3.8653,348.19,1.5658,60.478,0.074738
300.97,6.5,733.54,0.0013632,226.21,235.08,0.94229,0.94604,3.8742,347.76,1.5704,60.426,0.074706
301,6.5,733.17,0.0013639,226.32,235.18,0.94265,0.94621,3.8831,347.33,1.5749,60.374,0.074673
301.03,6.5,732.8,0.0013646,226.42,235.29,0.94301,0.94638,3.8921,346.9,1.5795,60.321,0.07464
301.06,6.5,732.43,0.0013653,226.53,235.4,0.94337,0.94655,3.9012,346.47,1.5841,60.269,0.074607
301.09,6.5,732.05,0.001366,226.63,235.51,0.94373,0.94672,3.9104,346.03,1.5888,60.217,0.074574
301.11,6.5,731.68,0.0013667,226.73,235.62,0.94409,0.94689,3.9196,345.6,1.5934,60.164,0.074542
301.14,6.5,731.3,0.0013674,226.84,235.73,0.94446,0.94707,3.929,345.16,1.5981,60.111,0.074509
301.17,6.5,730.92,0.0013681,226.94,235.84,0.94482,0.94724,3.9384,344.73,1.6029,60.059,0.074476
301.2,6.5,730.54,0.0013688,227.05,235.95,0.94518,0.94742,3.9479,344.29,1.6076,60.006,0.074444
301.22,6.5,730.16,0.0013696,227.15,236.06,0.94555,0.9476,3.9575,343.85,1.6124,59.953,0.074411
301.25,6.5,729.78,0.0013703,227.26,236.17,0.94592,0.94778,3.9672,343.41,1.6172,59.899,0.074379
301.28,6.5,729.39,0.001371,227.37,236.28,0.94628,0.94796,3.977,342.97,1.622,59.846,0.074346
301.31,6.5,729.01,0.0013717,227.47,236.39,0.94665,0.94814,3.9869,342.52,1.6269,59.793,0.074314
301.34,6.5,728.62,0.0013725,227.58,236.5,0.94702,0.94832,3.9969,342.08,1.6318,59.739,0.074282
301.36,6.5,728.23,0.0013732,227.68,236.61,0.94739,0.94851,4.007,341.64,1.6367,59.685,0.074249
301.39,6.5,727.84,0.0013739,227.79,236.72,0.94776,0.94869,4.0172,341.19,1.6417,59.632,0.074217
301.42,6.5,727.45,0.0013747,227.9,236.83,0.94813,0.94888,4.0275,340.74,1.6467,59.578,0.074185
301.45,6.5,727.06,0.0013754,228.01,236.95,0.9485,0.94907,4.0379,340.29,1.6517,59.523,0.074153
301.48,6.5,726.67,0.0013761,228.11,237.06,0.94888,0.94926,4.0484,339.84,1.6567,59.469,0.074121
301.5,6.5,726.27,0.0013769,228.22,237.17,0.94925,0.94945,4.059,339.39,1.6618,59.415,0.074089
301.53,6.5,725.88,0.0013776,228.33,237.28,0.94963,0.94964,4.0697,338.94,1.6669,59.36,0.074057
301.56,6.5,725.48,0.0013784,228.44,237.4,0.95,0.94983,4.0806,338.48,1.6721,59.306,0.074025
301.59,6.5,725.08,0.0013792,228.55,237.51,0.95038,0.95003,4.0915,338.03,1.6772,59.251,0.073993
