Temperature (K),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K)
290.12,65,76.011,0.013156,201.22,286.74,5.5265,0.759,1.1533,361.24,0.17594,18.665,0.028495
290.15,65,76.003,0.013157,201.25,286.77,5.5266,0.759,1.1533,361.26,0.1759,18.666,0.028496
290.18,65,75.995,0.013159,201.27,286.8,5.5268,0.75899,1.1533,361.28,0.17587,18.668,0.028498
290.2,65,75.987,0.01316,201.29,286.83,5.5269,0.75899,1.1533,361.29,0.17583,18.669,0.028499
290.23,65,75.979,0.013161,201.31,286.86,5.527,0.75899,1.1532,361.31,0.1758,18.67,0.028501
290.26,65,75.971,0.013163,201.33,286.89,5.5271,0.75898,1.1532,361.33,0.17576,18.671,0.028502
290.28,65,75.964,0.013164,201.35,286.92,5.5272,0.75898,1.1532,361.35,0.17573,18.672,0.028504
290.31,65,75.956,0.013166,201.37,286.95,5.5273,0.75898,1.1532,361.36,0.17569,18.673,0.028505
290.34,65,75.948,0.013167,201.4,286.98,5.5274,0.75897,1.1531,361.38,0.17566,18.674,0.028507
290.36,65,75.94,0.013168,201.42,287.01,5.5275,0.75897,1.1531,361.4,0.17563,18.675,0.028508
290.39,65,75.932,0.01317,201.44,287.04,5.5276,0.75897,1.1531,361.41,0.17559,18.676,0.02851
290.41,65,75.924,0.013171,201.46,287.07,5.5277,0.75896,1.153,361.43,0.17556,18.677,0.028511
290.44,65,75.916,0.013172,201.48,287.1,5.5278,0.75896,1.153,361.45,0.17552,18.678,0.028513
290.47,65,75.908,0.013174,201.5,287.13,5.5279,0.75896,1.153,361.47,0.17549,18.679,0.028514
290.49,65,75.9,0.013175,201.52,287.16,5.528,0.75895,1.153,361.48,0.17545,18.68,0.028516
290.52,65,75.892,0.013177,201.55,287.19,5.5281,0.75895,1.1529,361.5,0.17542,18.681,0.028517
290.55,65,75.884,0.013178,201.57,287.22,5.5282,0.75895,1.1529,361.52,0.17538,18.682,0.028519
290.57,65,75.876,0.013179,201.59,287.25,5.5283,0.75894,1.1529,361.54,0.17535,18.683,0.02852
290.6,65,75.868,0.013181,201.61,287.29,5.5284,0.75894,1.1529,361.55,0.17532,18.684,0.028522
290.63,65,75.86,0.013182,201.63,287.32,5.5285,0.75894,1.1528,361.57,0.17528,18.685,0.028524
290.65,65,75.852,0.013184,201.65,287.35,5.5286,0.75893,1.1528,361.59,0.17525,18.686,0.028525
290.68,65,75.844,0.013185,201.67,287.38,5.5287,0.75893,1.1528,361.61,0.17521,18.688,0.028527
290.71,65,75.836,0.013186,201.7,287.41,5.5288,0.75893,1.1527,361.62,0.17518,18.689,0.028528
290.73,65,75.828,0.013188,201.72,287.44,5.529,0.75892,1.1527,361.64,0.17514,18.69,0.02853
290.76,65,75.82,0.013189,201.74,287.47,5.5291,0.75892,1.1527,361.66,0.17511,18.691,0.028531
290.78,65,75.812,0.01319,201.76,287.5,5.5292,0.75892,1.1527,361.68,0.17508,18.692,0.028533
290.81,65,75.805,0.013192,201.78,287.53,5.5293,0.75891,1.1526,361.69,0.17504,18.693,0.028534
290.84,65,75.797,0.013193,201.8,287.56,5.5294,0.75891,1.1526,361.71,0.17501,18.694,0.028536
290.86,65,75.789,0.013195,201.82,287.59,5.5295,0.75891,1.1526,361.73,0.17497,18.695,0.028537
290.89,65,75.781,0.013196,201.85,287.62,5.5296,0.7589,1.1526,361.75,0.17494,18.696,0.028539
290.92,65,75.773,0.013197,201.87,287.65,5.5297,0.7589,1.1525,361.76,0.1749,18.697,0.02854
290.94,65,75.765,0.013199,201.89,287.68,5.5298,0.7589,1.1525,361.78,0.17487,18.698,0.028542
290.97,65,75.757,0.0132,201.91,287.71,5.5299,0.75889,1.1525,361.8,0.17484,18.699,0.028543
291,65,75.749,0.013201,201.93,287.74,5.53,0.75889,1.1524,361.81,0.1748,18.7,0.028545
291.02,65,75.741,0.013203,201.95,287.77,5.5301,0.75889,1.1524,361.83,0.17477,18.701,0.028546
291.05,65,75.733,0.013204,201.97,287.8,5.5302,0.75888,1.1524,361.85,0.17473,18.702,0.028548
291.07,65,75.725,0.013206,202,287.83,5.5303,0.75888,1.1524,361.87,0.1747,18.703,0.028549
291.1,65,75.717,0.013207,202.02,287.86,5.5304,0.75888,1.1523,361.88,0.17466,18.704,0.028551
291.13,65,75.71,0.013208,202.04,287.89,5.5305,0.75888,1.1523,361.9,0.17463,18.705,0.028552
291.15,65,75.702,0.01321,202.06,287.92,5.5306,0.75887,1.1523,361.92,0.1746,18.706,0.028554
291.18,65,75.694,0.013211,202.08,287.95,5.5307,0.75887,1.1523,361.94,0.17456,18.708,0.028555
291.21,65,75.686,0.013213,202.1,287.98,5.5308,0.75887,1.1522,361.95,0.17453,18.709,0.028557
291.23,65,75.678,0.013214,202.12,288.01,5.5309,0.75886,1.1522,361.97,0.17449,18.71,0.028559
291.26,65,75.67,0.013215,202.15,288.05,5.531,0.75886,1.1522,361.99,0.17446,18.711,0.02856
291.29,65,75.662,0.013217,202.17,288.08,5.5311,0.75886,1.1521,362.01,0.17443,18.712,0.028562
291.31,65,75.654,0.013218,202.19,288.11,5.5313,0.75885,1.1521,362.02,0.17439,18.713,0.028563
291.34,65,75.646,0.013219,202.21,288.14,5.5314,0.75885,1.1521,362.04,0.17436,18.714,0.028565
291.36,65,75.638,0.013221,202.23,288.17,5.5315,0.75885,1.1521,362.06,0.17432,18.715,0.028566
291.39,65,75.631,0.013222,202.25,288.2,5.5316,0.75884,1.152,362.08,0.17429,18.716,0.028568
291.42,65,75.623,0.013224,202.27,288.23,5.5317,0.75884,1.152,362.09,0.17425,18.717,0.028569
291.44,65,75.615,0.013225,202.3,288.26,5.5318,0.75884,1.152,362.11,0.17422,18.718,0.028571
291.47,65,75.607,0.013226,202.32,288.29,5.5319,0.75883,1.152,362.13,0.17419,18.719,0.028572
291.5,65,75.599,0.013228,202.34,288.32,5.532,0.75883,1.1519,362.14,0.17415,18.72,0.028574
291.52,65,75.591,0.013229,202.36,288.35,5.5321,0.75883,1.1519,362.16,0.17412,18.721,0.028575
291.55,65,75.583,0.01323,202.38,288.38,5.5322,0.75882,1.1519,362.18,0.17408,18.722,0.028577
291.58,65,75.575,0.013232,202.4,288.41,5.5323,0.75882,1.1518,362.2,0.17405,18.723,0.028578
291.6,65,75.568,0.013233,202.42,288.44,5.5324,0.75882,1.1518,362.21,0.17402,18.724,0.02858
291.63,65,75.56,0.013235,202.45,288.47,5.5325,0.75881,1.1518,362.23,0.17398,18.725,0.028581
291.65,65,75.552,0.013236,202.47,288.5,5.5326,0.75881,1.1518,362.25,0.17395,18.726,0.028583
291.68,65,75.544,0.013237,202.49,288.53,5.5327,0.75881,1.1517,362.27,0.17391,18.727,0.028584
291.71,65,75.536,0.013239,202.51,288.56,5.5328,0.7588,1.1517,362.28,0.17388,18.729,0.028586
