Temperature (K),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K)
295.11,65,74.537,0.013416,205.27,292.48,5.5462,0.75841,1.1483,364.51,0.16954,18.864,0.028783
295.14,65,74.529,0.013418,205.29,292.51,5.5463,0.7584,1.1483,364.52,0.16951,18.865,0.028784
295.16,65,74.521,0.013419,205.31,292.54,5.5464,0.7584,1.1483,364.54,0.16948,18.866,0.028786
295.19,65,74.514,0.01342,205.33,292.57,5.5465,0.7584,1.1482,364.56,0.16944,18.867,0.028787
295.22,65,74.506,0.013422,205.36,292.6,5.5466,0.7584,1.1482,364.58,0.16941,18.868,0.028789
295.24,65,74.499,0.013423,205.38,292.63,5.5467,0.75839,1.1482,364.59,0.16938,18.869,0.02879
295.27,65,74.491,0.013424,205.4,292.66,5.5468,0.75839,1.1482,364.61,0.16934,18.871,0.028792
295.3,65,74.483,0.013426,205.42,292.69,5.5469,0.75839,1.1481,364.63,0.16931,18.872,0.028793
295.32,65,74.476,0.013427,205.44,292.72,5.547,0.75838,1.1481,364.64,0.16928,18.873,0.028795
295.35,65,74.468,0.013429,205.46,292.75,5.5471,0.75838,1.1481,364.66,0.16924,18.874,0.028796
295.37,65,74.46,0.01343,205.48,292.78,5.5472,0.75838,1.1481,364.68,0.16921,18.875,0.028798
295.4,65,74.453,0.013431,205.51,292.81,5.5473,0.75838,1.148,364.7,0.16918,18.876,0.028799
295.43,65,74.445,0.013433,205.53,292.84,5.5474,0.75837,1.148,364.71,0.16914,18.877,0.028801
295.45,65,74.438,0.013434,205.55,292.87,5.5475,0.75837,1.148,364.73,0.16911,18.878,0.028802
295.48,65,74.43,0.013435,205.57,292.9,5.5476,0.75837,1.148,364.75,0.16908,18.879,0.028804
295.51,65,74.422,0.013437,205.59,292.93,5.5477,0.75836,1.1479,364.76,0.16904,18.88,0.028806
295.53,65,74.415,0.013438,205.61,292.96,5.5478,0.75836,1.1479,364.78,0.16901,18.881,0.028807
295.56,65,74.407,0.01344,205.63,292.99,5.5479,0.75836,1.1479,364.8,0.16898,18.882,0.028809
295.59,65,74.4,0.013441,205.66,293.02,5.548,0.75835,1.1479,364.82,0.16894,18.883,0.02881
295.61,65,74.392,0.013442,205.68,293.05,5.5481,0.75835,1.1478,364.83,0.16891,18.884,0.028812
295.64,65,74.384,0.013444,205.7,293.08,5.5482,0.75835,1.1478,364.85,0.16888,18.885,0.028813
295.67,65,74.377,0.013445,205.72,293.11,5.5483,0.75835,1.1478,364.87,0.16885,18.886,0.028815
295.69,65,74.369,0.013446,205.74,293.14,5.5484,0.75834,1.1478,364.88,0.16881,18.887,0.028816
295.72,65,74.362,0.013448,205.76,293.17,5.5485,0.75834,1.1477,364.9,0.16878,18.888,0.028818
295.74,65,74.354,0.013449,205.78,293.2,5.5486,0.75834,1.1477,364.92,0.16875,18.889,0.028819
295.77,65,74.346,0.013451,205.8,293.23,5.5487,0.75833,1.1477,364.94,0.16871,18.891,0.028821
295.8,65,74.339,0.013452,205.83,293.26,5.5488,0.75833,1.1477,364.95,0.16868,18.892,0.028822
295.82,65,74.331,0.013453,205.85,293.29,5.5489,0.75833,1.1476,364.97,0.16865,18.893,0.028824
295.85,65,74.324,0.013455,205.87,293.32,5.549,0.75832,1.1476,364.99,0.16861,18.894,0.028825
295.88,65,74.316,0.013456,205.89,293.35,5.5491,0.75832,1.1476,365,0.16858,18.895,0.028827
295.9,65,74.309,0.013457,205.91,293.38,5.5492,0.75832,1.1476,365.02,0.16855,18.896,0.028828
295.93,65,74.301,0.013459,205.93,293.41,5.5493,0.75832,1.1475,365.04,0.16852,18.897,0.02883
295.96,65,74.293,0.01346,205.95,293.45,5.5494,0.75831,1.1475,365.06,0.16848,18.898,0.028831
295.98,65,74.286,0.013462,205.98,293.48,5.5495,0.75831,1.1475,365.07,0.16845,18.899,0.028833
296.01,65,74.278,0.013463,206,293.51,5.5496,0.75831,1.1475,365.09,0.16842,18.9,0.028835
296.03,65,74.271,0.013464,206.02,293.54,5.5497,0.7583,1.1474,365.11,0.16838,18.901,0.028836
296.06,65,74.263,0.013466,206.04,293.57,5.5498,0.7583,1.1474,365.12,0.16835,18.902,0.028838
296.09,65,74.256,0.013467,206.06,293.6,5.5499,0.7583,1.1474,365.14,0.16832,18.903,0.028839
296.11,65,74.248,0.013468,206.08,293.63,5.55,0.7583,1.1474,365.16,0.16828,18.904,0.028841
296.14,65,74.24,0.01347,206.1,293.66,5.5501,0.75829,1.1473,365.18,0.16825,18.905,0.028842
296.17,65,74.233,0.013471,206.12,293.69,5.5503,0.75829,1.1473,365.19,0.16822,18.906,0.028844
296.19,65,74.225,0.013472,206.15,293.72,5.5504,0.75829,1.1473,365.21,0.16819,18.907,0.028845
296.22,65,74.218,0.013474,206.17,293.75,5.5505,0.75828,1.1473,365.23,0.16815,18.908,0.028847
296.25,65,74.21,0.013475,206.19,293.78,5.5506,0.75828,1.1472,365.24,0.16812,18.909,0.028848
296.27,65,74.203,0.013477,206.21,293.81,5.5507,0.75828,1.1472,365.26,0.16809,18.911,0.02885
296.3,65,74.195,0.013478,206.23,293.84,5.5508,0.75828,1.1472,365.28,0.16805,18.912,0.028851
296.32,65,74.188,0.013479,206.25,293.87,5.5509,0.75827,1.1472,365.3,0.16802,18.913,0.028853
296.35,65,74.18,0.013481,206.27,293.9,5.551,0.75827,1.1471,365.31,0.16799,18.914,0.028854
296.38,65,74.172,0.013482,206.3,293.93,5.5511,0.75827,1.1471,365.33,0.16796,18.915,0.028856
296.4,65,74.165,0.013483,206.32,293.96,5.5512,0.75826,1.1471,365.35,0.16792,18.916,0.028857
296.43,65,74.157,0.013485,206.34,293.99,5.5513,0.75826,1.147,365.36,0.16789,18.917,0.028859
296.46,65,74.15,0.013486,206.36,294.02,5.5514,0.75826,1.147,365.38,0.16786,18.918,0.028861
296.48,65,74.142,0.013488,206.38,294.05,5.5515,0.75825,1.147,365.4,0.16782,18.919,0.028862
296.51,65,74.135,0.013489,206.4,294.08,5.5516,0.75825,1.147,365.42,0.16779,18.92,0.028864
296.54,65,74.127,0.01349,206.42,294.11,5.5517,0.75825,1.1469,365.43,0.16776,18.921,0.028865
296.56,65,74.12,0.013492,206.45,294.14,5.5518,0.75825,1.1469,365.45,0.16773,18.922,0.028867
296.59,65,74.112,0.013493,206.47,294.17,5.5519,0.75824,1.1469,365.47,0.16769,18.923,0.028868
296.62,65,74.105,0.013494,206.49,294.2,5.552,0.75824,1.1469,365.48,0.16766,18.924,0.02887
296.64,65,74.097,0.013496,206.51,294.23,5.5521,0.75824,1.1468,365.5,0.16763,18.925,0.028871
296.67,65,74.09,0.013497,206.53,294.26,5.5522,0.75823,1.1468,365.52,0.16759,18.926,0.028873
296.69,65,74.082,0.013499,206.55,294.29,5.5523,0.75823,1.1468,365.53,0.16756,18.927,0.028874
296.72,65,74.074,0.0135,206.57,294.32,5.5524,0.75823,1.1468,365.55,0.16753,18.928,0.028876
296.75,65,74.067,0.013501,206.59,294.35,5.5525,0.75823,1.1467,365.57,0.1675,18.929,0.028877
296.77,65,74.059,0.013503,206.62,294.38,5.5526,0.75822,1.1467,365.59,0.16746,18.931,0.028879
296.8,65,74.052,0.013504,206.64,294.41,5.5527,0.75822,1.1467,365.6,0.16743,18.932,0.02888
296.83,65,74.044,0.013505,206.66,294.44,5.5528,0.75822,1.1467,365.62,0.1674,18.933,0.028882
296.85,65,74.037,0.013507,206.68,294.47,5.5529,0.75821,1.1466,365.64,0.16736,18.934,0.028883
296.88,65,74.029,0.013508,206.7,294.5,5.553,0.75821,1.1466,365.65,0.16733,18.935,0.028885
296.91,65,74.022,0.01351,206.72,294.53,5.5531,0.75821,1.1466,365.67,0.1673,18.936,0.028887
296.93,65,74.014,0.013511,206.74,294.56,5.5532,0.75821,1.1466,365.69,0.16727,18.937,0.028888
296.96,65,74.007,0.013512,206.77,294.6,5.5533,0.7582,1.1465,365.71,0.16723,18.938,0.02889
296.98,65,73.999,0.013514,206.79,294.63,5.5534,0.7582,1.1465,365.72,0.1672,18.939,0.028891
297.01,65,73.992,0.013515,206.81,294.66,5.5535,0.7582,1.1465,365.74,0.16717,18.94,0.028893
297.04,65,73.984,0.013516,206.83,294.69,5.5536,0.75819,1.1465,365.76,0.16714,18.941,0.028894
297.06,65,73.977,0.013518,206.85,294.72,5.5537,0.75819,1.1464,365.77,0.1671,18.942,0.028896
297.09,65,73.969,0.013519,206.87,294.75,5.5538,0.75819,1.1464,365.79,0.16707,18.943,0.028897
297.12,65,73.962,0.01352,206.89,294.78,5.5539,0.75819,1.1464,365.81,0.16704,18.944,0.028899
297.14,65,73.954,0.013522,206.91,294.81,5.554,0.75818,1.1464,365.83,0.167,18.945,0.0289
297.17,65,73.947,0.013523,206.94,294.84,5.5541,0.75818,1.1463,365.84,0.16697,18.946,0.028902
297.2,65,73.939,0.013525,206.96,294.87,5.5542,0.75818,1.1463,365.86,0.16694,18.947,0.028903
297.22,65,73.932,0.013526,206.98,294.9,5.5543,0.75817,1.1463,365.88,0.16691,18.948,0.028905
297.25,65,73.924,0.013527,207,294.93,5.5544,0.75817,1.1463,365.89,0.16687,18.949,0.028906
297.27,65,73.917,0.013529,207.02,294.96,5.5545,0.75817,1.1463,365.91,0.16684,18.95,0.028908
297.3,65,73.909,0.01353,207.04,294.99,5.5546,0.75817,1.1462,365.93,0.16681,18.952,0.028909
297.33,65,73.902,0.013531,207.06,295.02,5.5547,0.75816,1.1462,365.94,0.16678,18.953,0.028911
297.35,65,73.894,0.013533,207.09,295.05,5.5548,0.75816,1.1462,365.96,0.16674,18.954,0.028913
297.38,65,73.887,0.013534,207.11,295.08,5.5549,0.75816,1.1462,365.98,0.16671,18.955,0.028914
297.41,65,73.879,0.013536,207.13,295.11,5.555,0.75815,1.1461,366,0.16668,18.956,0.028916
297.43,65,73.872,0.013537,207.15,295.14,5.5551,0.75815,1.1461,366.01,0.16665,18.957,0.028917
297.46,65,73.864,0.013538,207.17,295.17,5.5552,0.75815,1.1461,366.03,0.16661,18.958,0.028919
297.49,65,73.857,0.01354,207.19,295.2,5.5553,0.75815,1.1461,366.05,0.16658,18.959,0.02892
297.51,65,73.85,0.013541,207.21,295.23,5.5554,0.75814,1.146,366.06,0.16655,18.96,0.028922
297.54,65,73.842,0.013542,207.23,295.26,5.5556,0.75814,1.146,366.08,0.16651,18.961,0.028923
297.56,65,73.835,0.013544,207.26,295.29,5.5557,0.75814,1.146,366.1,0.16648,18.962,0.028925
297.59,65,73.827,0.013545,207.28,295.32,5.5558,0.75813,1.146,366.12,0.16645,18.963,0.028926
297.62,65,73.82,0.013547,207.3,295.35,5.5559,0.75813,1.1459,366.13,0.16642,18.964,0.028928
297.64,65,73.812,0.013548,207.32,295.38,5.556,0.75813,1.1459,366.15,0.16638,18.965,0.028929
297.67,65,73.805,0.013549,207.34,295.41,5.5561,0.75813,1.1459,366.17,0.16635,18.966,0.028931
297.7,65,73.797,0.013551,207.36,295.44,5.5562,0.75812,1.1459,366.18,0.16632,18.967,0.028932
297.72,65,73.79,0.013552,207.38,295.47,5.5563,0.75812,1.1458,366.2,0.16629,18.968,0.028934
297.75,65,73.782,0.013553,207.41,295.5,5.5564,0.75812,1.1458,366.22,0.16625,18.969,0.028935
297.78,65,73.775,0.013555,207.43,295.53,5.5565,0.75811,1.1458,366.23,0.16622,18.97,0.028937
297.8,65,73.767,0.013556,207.45,295.56,5.5566,0.75811,1.1458,366.25,0.16619,18.972,0.028939
297.83,65,73.76,0.013557,207.47,295.59,5.5567,0.75811,1.1457,366.27,0.16616,18.973,0.02894
297.86,65,73.753,0.013559,207.49,295.62,5.5568,0.75811,1.1457,366.29,0.16612,18.974,0.028942
297.88,65,73.745,0.01356,207.51,295.65,5.5569,0.7581,1.1457,366.3,0.16609,18.975,0.028943
297.91,65,73.738,0.013562,207.53,295.68,5.557,0.7581,1.1457,366.32,0.16606,18.976,0.028945
297.93,65,73.73,0.013563,207.55,295.71,5.5571,0.7581,1.1456,366.34,0.16603,18.977,0.028946
297.96,65,73.723,0.013564,207.58,295.74,5.5572,0.75809,1.1456,366.35,0.16599,18.978,0.028948
297.99,65,73.715,0.013566,207.6,295.77,5.5573,0.75809,1.1456,366.37,0.16596,18.979,0.028949
298.01,65,73.708,0.013567,207.62,295.8,5.5574,0.75809,1.1456,366.39,0.16593,18.98,0.028951
298.04,65,73.7,0.013568,207.64,295.83,5.5575,0.75809,1.1455,366.4,0.1659,18.981,0.028952
298.07,65,73.693,0.01357,207.66,295.86,5.5576,0.75808,1.1455,366.42,0.16586,18.982,0.028954
298.09,65,73.686,0.013571,207.68,295.9,5.5577,0.75808,1.1455,366.44,0.16583,18.983,0.028955
298.12,65,73.678,0.013573,207.7,295.93,5.5578,0.75808,1.1455,366.46,0.1658,18.984,0.028957
298.15,65,73.671,0.013574,207.73,295.96,5.5579,0.75808,1.1454,366.47,0.16577,18.985,0.028958
298.17,65,73.663,0.013575,207.75,295.99,5.558,0.75807,1.1454,366.49,0.16573,18.986,0.02896
298.2,65,73.656,0.013577,207.77,296.02,5.5581,0.75807,1.1454,366.51,0.1657,18.987,0.028962
298.22,65,73.648,0.013578,207.79,296.05,5.5582,0.75807,1.1454,366.52,0.16567,18.988,0.028963
298.25,65,73.641,0.013579,207.81,296.08,5.5583,0.75806,1.1453,366.54,0.16564,18.989,0.028965
298.28,65,73.634,0.013581,207.83,296.11,5.5584,0.75806,1.1453,366.56,0.1656,18.99,0.028966
298.3,65,73.626,0.013582,207.85,296.14,5.5585,0.75806,1.1453,366.57,0.16557,18.992,0.028968
298.33,65,73.619,0.013583,207.87,296.17,5.5586,0.75806,1.1453,366.59,0.16554,18.993,0.028969
298.36,65,73.611,0.013585,207.9,296.2,5.5587,0.75805,1.1452,366.61,0.16551,18.994,0.028971
298.38,65,73.604,0.013586,207.92,296.23,5.5588,0.75805,1.1452,366.63,0.16547,18.995,0.028972
298.41,65,73.596,0.013588,207.94,296.26,5.5589,0.75805,1.1452,366.64,0.16544,18.996,0.028974
298.44,65,73.589,0.013589,207.96,296.29,5.559,0.75804,1.1452,366.66,0.16541,18.997,0.028975
298.46,65,73.582,0.01359,207.98,296.32,5.5591,0.75804,1.1451,366.68,0.16538,18.998,0.028977
298.49,65,73.574,0.013592,208,296.35,5.5592,0.75804,1.1451,366.69,0.16534,18.999,0.028978
298.51,65,73.567,0.013593,208.02,296.38,5.5593,0.75804,1.1451,366.71,0.16531,19,0.02898
298.54,65,73.559,0.013594,208.04,296.41,5.5594,0.75803,1.1451,366.73,0.16528,19.001,0.028981
298.57,65,73.552,0.013596,208.07,296.44,5.5595,0.75803,1.145,366.74,0.16525,19.002,0.028983
298.59,65,73.545,0.013597,208.09,296.47,5.5596,0.75803,1.145,366.76,0.16522,19.003,0.028984
298.62,65,73.537,0.013599,208.11,296.5,5.5597,0.75802,1.145,366.78,0.16518,19.004,0.028986
298.65,65,73.53,0.0136,208.13,296.53,5.5598,0.75802,1.145,366.8,0.16515,19.005,0.028988
298.67,65,73.522,0.013601,208.15,296.56,5.5599,0.75802,1.1449,366.81,0.16512,19.006,0.028989
298.7,65,73.515,0.013603,208.17,296.59,5.56,0.75802,1.1449,366.83,0.16509,19.007,0.028991
298.73,65,73.508,0.013604,208.19,296.62,5.5601,0.75801,1.1449,366.85,0.16505,19.008,0.028992
298.75,65,73.5,0.013605,208.22,296.65,5.5602,0.75801,1.1449,366.86,0.16502,19.009,0.028994
298.78,65,73.493,0.013607,208.24,296.68,5.5603,0.75801,1.1449,366.88,0.16499,19.01,0.028995
298.8,65,73.485,0.013608,208.26,296.71,5.5604,0.75801,1.1448,366.9,0.16496,19.011,0.028997
298.83,65,73.478,0.01361,208.28,296.74,5.5605,0.758,1.1448,366.91,0.16492,19.013,0.028998
298.86,65,73.471,0.013611,208.3,296.77,5.5606,0.758,1.1448,366.93,0.16489,19.014,0.029
298.88,65,73.463,0.013612,208.32,296.8,5.5607,0.758,1.1448,366.95,0.16486,19.015,0.029001
298.91,65,73.456,0.013614,208.34,296.83,5.5608,0.75799,1.1447,366.97,0.16483,19.016,0.029003
298.94,65,73.449,0.013615,208.36,296.86,5.5609,0.75799,1.1447,366.98,0.1648,19.017,0.029004
298.96,65,73.441,0.013616,208.39,296.89,5.561,0.75799,1.1447,367,0.16476,19.018,0.029006
298.99,65,73.434,0.013618,208.41,296.92,5.5611,0.75799,1.1447,367.02,0.16473,19.019,0.029007
299.02,65,73.426,0.013619,208.43,296.95,5.5612,0.75798,1.1446,367.03,0.1647,19.02,0.029009
299.04,65,73.419,0.01362,208.45,296.98,5.5613,0.75798,1.1446,367.05,0.16467,19.021,0.029011
299.07,65,73.412,0.013622,208.47,297.01,5.5614,0.75798,1.1446,367.07,0.16463,19.022,0.029012
299.1,65,73.404,0.013623,208.49,297.04,5.5615,0.75797,1.1446,367.08,0.1646,19.023,0.029014
299.12,65,73.397,0.013625,208.51,297.07,5.5616,0.75797,1.1445,367.1,0.16457,19.024,0.029015
299.15,65,73.39,0.013626,208.54,297.1,5.5617,0.75797,1.1445,367.12,0.16454,19.025,0.029017
299.17,65,73.382,0.013627,208.56,297.13,5.5618,0.75797,1.1445,367.14,0.16451,19.026,0.029018
299.2,65,73.375,0.013629,208.58,297.16,5.5619,0.75796,1.1445,367.15,0.16447,19.027,0.02902
299.23,65,73.367,0.01363,208.6,297.19,5.562,0.75796,1.1444,367.17,0.16444,19.028,0.029021
299.25,65,73.36,0.013631,208.62,297.22,5.5621,0.75796,1.1444,367.19,0.16441,19.029,0.029023
299.28,65,73.353,0.013633,208.64,297.25,5.5622,0.75796,1.1444,367.2,0.16438,19.03,0.029024
299.31,65,73.345,0.013634,208.66,297.28,5.5623,0.75795,1.1444,367.22,0.16434,19.031,0.029026
299.33,65,73.338,0.013635,208.68,297.31,5.5624,0.75795,1.1443,367.24,0.16431,19.033,0.029027
299.36,65,73.331,0.013637,208.71,297.35,5.5625,0.75795,1.1443,367.25,0.16428,19.034,0.029029
299.39,65,73.323,0.013638,208.73,297.38,5.5626,0.75794,1.1443,367.27,0.16425,19.035,0.02903
299.41,65,73.316,0.01364,208.75,297.41,5.5627,0.75794,1.1443,367.29,0.16422,19.036,0.029032
299.44,65,73.309,0.013641,208.77,297.44,5.5628,0.75794,1.1442,367.3,0.16418,19.037,0.029034
299.46,65,73.301,0.013642,208.79,297.47,5.5629,0.75794,1.1442,367.32,0.16415,19.038,0.029035
299.49,65,73.294,0.013644,208.81,297.5,5.563,0.75793,1.1442,367.34,0.16412,19.039,0.029037
299.52,65,73.287,0.013645,208.83,297.53,5.5631,0.75793,1.1442,367.36,0.16409,19.04,0.029038
299.54,65,73.279,0.013646,208.85,297.56,5.5632,0.75793,1.1442,367.37,0.16405,19.041,0.02904
299.57,65,73.272,0.013648,208.88,297.59,5.5633,0.75793,1.1441,367.39,0.16402,19.042,0.029041
299.6,65,73.265,0.013649,208.9,297.62,5.5634,0.75792,1.1441,367.41,0.16399,19.043,0.029043
299.62,65,73.257,0.013651,208.92,297.65,5.5635,0.75792,1.1441,367.42,0.16396,19.044,0.029044
299.65,65,73.25,0.013652,208.94,297.68,5.5636,0.75792,1.1441,367.44,0.16393,19.045,0.029046
299.68,65,73.243,0.013653,208.96,297.71,5.5637,0.75791,1.144,367.46,0.16389,19.046,0.029047
299.7,65,73.235,0.013655,208.98,297.74,5.5638,0.75791,1.144,367.47,0.16386,19.047,0.029049
299.73,65,73.228,0.013656,209,297.77,5.5639,0.75791,1.144,367.49,0.16383,19.048,0.02905
299.75,65,73.221,0.013657,209.02,297.8,5.564,0.75791,1.144,367.51,0.1638,19.049,0.029052
299.78,65,73.213,0.013659,209.05,297.83,5.5641,0.7579,1.1439,367.53,0.16377,19.05,0.029053
299.81,65,73.206,0.01366,209.07,297.86,5.5642,0.7579,1.1439,367.54,0.16373,19.051,0.029055
299.83,65,73.199,0.013661,209.09,297.89,5.5643,0.7579,1.1439,367.56,0.1637,19.053,0.029057
299.86,65,73.191,0.013663,209.11,297.92,5.5644,0.7579,1.1439,367.58,0.16367,19.054,0.029058
299.89,65,73.184,0.013664,209.13,297.95,5.5646,0.75789,1.1438,367.59,0.16364,19.055,0.02906
299.91,65,73.177,0.013666,209.15,297.98,5.5647,0.75789,1.1438,367.61,0.16361,19.056,0.029061
299.94,65,73.169,0.013667,209.17,298.01,5.5648,0.75789,1.1438,367.63,0.16357,19.057,0.029063
299.97,65,73.162,0.013668,209.2,298.04,5.5649,0.75788,1.1438,367.64,0.16354,19.058,0.029064
299.99,65,73.155,0.01367,209.22,298.07,5.565,0.75788,1.1437,367.66,0.16351,19.059,0.029066
300.02,65,73.147,0.013671,209.24,298.1,5.5651,0.75788,1.1437,367.68,0.16348,19.06,0.029067
300.04,65,73.14,0.013672,209.26,298.13,5.5652,0.75788,1.1437,367.69,0.16345,19.061,0.029069
300.07,65,73.133,0.013674,209.28,298.16,5.5653,0.75787,1.1437,367.71,0.16341,19.062,0.02907
300.1,65,73.125,0.013675,209.3,298.19,5.5654,0.75787,1.1436,367.73,0.16338,19.063,0.029072
300.12,65,73.118,0.013677,209.32,298.22,5.5655,0.75787,1.1436,367.75,0.16335,19.064,0.029073
300.15,65,73.111,0.013678,209.34,298.25,5.5656,0.75787,1.1436,367.76,0.16332,19.065,0.029075
300.18,65,73.103,0.013679,209.37,298.28,5.5657,0.75786,1.1436,367.78,0.16329,19.066,0.029076
300.2,65,73.096,0.013681,209.39,298.31,5.5658,0.75786,1.1436,367.8,0.16325,19.067,0.029078
300.23,65,73.089,0.013682,209.41,298.34,5.5659,0.75786,1.1435,367.81,0.16322,19.068,0.02908
300.26,65,73.082,0.013683,209.43,298.37,5.566,0.75786,1.1435,367.83,0.16319,19.069,0.029081
300.28,65,73.074,0.013685,209.45,298.4,5.5661,0.75785,1.1435,367.85,0.16316,19.07,0.029083
300.31,65,73.067,0.013686,209.47,298.43,5.5662,0.75785,1.1435,367.86,0.16313,19.071,0.029084
300.34,65,73.06,0.013687,209.49,298.46,5.5663,0.75785,1.1434,367.88,0.16309,19.072,0.029086
300.36,65,73.052,0.013689,209.51,298.49,5.5664,0.75784,1.1434,367.9,0.16306,19.074,0.029087
300.39,65,73.045,0.01369,209.54,298.52,5.5665,0.75784,1.1434,367.91,0.16303,19.075,0.029089
300.41,65,73.038,0.013692,209.56,298.55,5.5666,0.75784,1.1434,367.93,0.163,19.076,0.02909
300.44,65,73.031,0.013693,209.58,298.58,5.5667,0.75784,1.1433,367.95,0.16297,19.077,0.029092
300.47,65,73.023,0.013694,209.6,298.61,5.5668,0.75783,1.1433,367.97,0.16293,19.078,0.029093
300.49,65,73.016,0.013696,209.62,298.64,5.5669,0.75783,1.1433,367.98,0.1629,19.079,0.029095
300.52,65,73.009,0.013697,209.64,298.67,5.567,0.75783,1.1433,368,0.16287,19.08,0.029096
300.55,65,73.001,0.013698,209.66,298.7,5.5671,0.75783,1.1432,368.02,0.16284,19.081,0.029098
300.57,65,72.994,0.0137,209.68,298.73,5.5672,0.75782,1.1432,368.03,0.16281,19.082,0.029099
300.6,65,72.987,0.013701,209.71,298.76,5.5673,0.75782,1.1432,368.05,0.16277,19.083,0.029101
300.63,65,72.98,0.013702,209.73,298.79,5.5674,0.75782,1.1432,368.07,0.16274,19.084,0.029103
300.65,65,72.972,0.013704,209.75,298.82,5.5675,0.75781,1.1432,368.08,0.16271,19.085,0.029104
300.68,65,72.965,0.013705,209.77,298.85,5.5676,0.75781,1.1431,368.1,0.16268,19.086,0.029106
300.7,65,72.958,0.013707,209.79,298.88,5.5677,0.75781,1.1431,368.12,0.16265,19.087,0.029107
300.73,65,72.951,0.013708,209.81,298.91,5.5678,0.75781,1.1431,368.13,0.16262,19.088,0.029109
300.76,65,72.943,0.013709,209.83,298.94,5.5679,0.7578,1.1431,368.15,0.16258,19.089,0.02911
300.78,65,72.936,0.013711,209.86,298.97,5.568,0.7578,1.143,368.17,0.16255,19.09,0.029112
300.81,65,72.929,0.013712,209.88,299,5.5681,0.7578,1.143,368.18,0.16252,19.091,0.029113
300.84,65,72.921,0.013713,209.9,299.03,5.5682,0.7578,1.143,368.2,0.16249,19.092,0.029115
300.86,65,72.914,0.013715,209.92,299.06,5.5683,0.75779,1.143,368.22,0.16246,19.094,0.029116
300.89,65,72.907,0.013716,209.94,299.1,5.5684,0.75779,1.1429,368.24,0.16242,19.095,0.029118
300.92,65,72.9,0.013717,209.96,299.13,5.5685,0.75779,1.1429,368.25,0.16239,19.096,0.029119
300.94,65,72.892,0.013719,209.98,299.16,5.5686,0.75779,1.1429,368.27,0.16236,19.097,0.029121
300.97,65,72.885,0.01372,210,299.19,5.5687,0.75778,1.1429,368.29,0.16233,19.098,0.029122
300.99,65,72.878,0.013722,210.03,299.22,5.5688,0.75778,1.1428,368.3,0.1623,19.099,0.029124
301.02,65,72.871,0.013723,210.05,299.25,5.5689,0.75778,1.1428,368.32,0.16227,19.1,0.029126
301.05,65,72.863,0.013724,210.07,299.28,5.569,0.75778,1.1428,368.34,0.16223,19.101,0.029127
301.07,65,72.856,0.013726,210.09,299.31,5.5691,0.75777,1.1428,368.35,0.1622,19.102,0.029129
301.1,65,72.849,0.013727,210.11,299.34,5.5692,0.75777,1.1428,368.37,0.16217,19.103,0.02913
301.13,65,72.842,0.013728,210.13,299.37,5.5693,0.75777,1.1427,368.39,0.16214,19.104,0.029132
301.15,65,72.834,0.01373,210.15,299.4,5.5694,0.75776,1.1427,368.4,0.16211,19.105,0.029133
301.18,65,72.827,0.013731,210.17,299.43,5.5695,0.75776,1.1427,368.42,0.16207,19.106,0.029135
301.21,65,72.82,0.013733,210.2,299.46,5.5696,0.75776,1.1427,368.44,0.16204,19.107,0.029136
301.23,65,72.813,0.013734,210.22,299.49,5.5697,0.75776,1.1426,368.46,0.16201,19.108,0.029138
301.26,65,72.805,0.013735,210.24,299.52,5.5698,0.75775,1.1426,368.47,0.16198,19.109,0.029139
301.28,65,72.798,0.013737,210.26,299.55,5.5699,0.75775,1.1426,368.49,0.16195,19.11,0.029141
301.31,65,72.791,0.013738,210.28,299.58,5.57,0.75775,1.1426,368.51,0.16192,19.111,0.029142
301.34,65,72.784,0.013739,210.3,299.61,5.5701,0.75775,1.1425,368.52,0.16188,19.112,0.029144
301.36,65,72.777,0.013741,210.32,299.64,5.5702,0.75774,1.1425,368.54,0.16185,19.113,0.029145
301.39,65,72.769,0.013742,210.34,299.67,5.5703,0.75774,1.1425,368.56,0.16182,19.115,0.029147
301.42,65,72.762,0.013743,210.37,299.7,5.5704,0.75774,1.1425,368.57,0.16179,19.116,0.029149
301.44,65,72.755,0.013745,210.39,299.73,5.5705,0.75774,1.1424,368.59,0.16176,19.117,0.02915
301.47,65,72.748,0.013746,210.41,299.76,5.5706,0.75773,1.1424,368.61,0.16173,19.118,0.029152
301.5,65,72.74,0.013748,210.43,299.79,5.5707,0.75773,1.1424,368.62,0.16169,19.119,0.029153
301.52,65,72.733,0.013749,210.45,299.82,5.5708,0.75773,1.1424,368.64,0.16166,19.12,0.029155
301.55,65,72.726,0.01375,210.47,299.85,5.5709,0.75772,1.1424,368.66,0.16163,19.121,0.029156
301.58,65,72.719,0.013752,210.49,299.88,5.571,0.75772,1.1423,368.67,0.1616,19.122,0.029158
301.6,65,72.712,0.013753,210.51,299.91,5.5711,0.75772,1.1423,368.69,0.16157,19.123,0.029159
301.63,65,72.704,0.013754,210.54,299.94,5.5712,0.75772,1.1423,368.71,0.16154,19.124,0.029161
