Temperature_K,Pressure_MPa,rho_L_kgm3,h_L_kJkg,s_L_kJkgK,rho_V_kgm3,h_V_kJkg,s_V_kJkgK,Cv_V_J_gK,Cp_V_J_gK,gamma_V
209.46,0.36544,1154.7,43.079,0.21771,9.8787,387.61,1.8625,0.65737,0.92244,1.403228015
209.68,0.36893,1154,43.453,0.21948,9.9675,387.71,1.8613,0.65802,0.92366,1.403695936
209.89,0.37244,1153.3,43.827,0.22125,10.057,387.81,1.8601,0.65868,0.92489,1.404156798
210.1,0.37598,1152.7,44.201,0.22301,10.147,387.91,1.8589,0.65934,0.92612,1.404616738
210.31,0.37954,1152,44.575,0.22478,10.238,388.01,1.8577,0.66,0.92735,1.405075758
210.52,0.38313,1151.3,44.949,0.22654,10.329,388.11,1.8566,0.66065,0.92859,1.405570272
210.74,0.38674,1150.6,45.324,0.2283,10.421,388.2,1.8554,0.66131,0.92983,1.406042552
210.95,0.39038,1149.9,45.698,0.23007,10.513,388.3,1.8542,0.66197,0.93107,1.40651389
211.16,0.39405,1149.3,46.073,0.23183,10.606,388.4,1.853,0.66263,0.93232,1.406999381
211.37,0.39774,1148.6,46.447,0.23358,10.7,388.5,1.8518,0.66329,0.93358,1.407498982
211.58,0.40146,1147.9,46.822,0.23534,10.795,388.59,1.8506,0.66395,0.93484,1.40799759
211.8,0.4052,1147.2,47.197,0.2371,10.89,388.69,1.8495,0.66461,0.9361,1.408495208
212.01,0.40897,1146.5,47.572,0.23885,10.985,388.79,1.8483,0.66528,0.93736,1.408970659
212.22,0.41277,1145.8,47.948,0.24061,11.082,388.88,1.8471,0.66594,0.93863,1.409481335
212.43,0.41659,1145.2,48.323,0.24236,11.179,388.98,1.846,0.6666,0.93991,1.410006001
212.64,0.42045,1144.5,48.698,0.24411,11.276,389.08,1.8448,0.66726,0.94118,1.410514642
212.86,0.42432,1143.8,49.074,0.24586,11.375,389.17,1.8436,0.66793,0.94247,1.411031096
213.07,0.42823,1143.1,49.45,0.24761,11.474,389.27,1.8425,0.66859,0.94375,1.411552671
213.28,0.43216,1142.4,49.826,0.24935,11.573,389.36,1.8413,0.66926,0.94504,1.412067059
213.49,0.43612,1141.7,50.202,0.2511,11.674,389.46,1.8402,0.66992,0.94634,1.412616432
213.7,0.44011,1141,50.578,0.25284,11.775,389.55,1.839,0.67059,0.94763,1.413128737
213.92,0.44412,1140.3,50.954,0.25459,11.876,389.65,1.8379,0.67126,0.94894,1.413669815
214.13,0.44816,1139.7,51.33,0.25633,11.979,389.74,1.8367,0.67192,0.95024,1.414215978
214.34,0.45223,1139,51.707,0.25807,12.082,389.83,1.8356,0.67259,0.95156,1.414769771
214.55,0.45633,1138.3,52.084,0.25981,12.185,389.93,1.8345,0.67326,0.95287,1.415307608
214.76,0.46046,1137.6,52.46,0.26155,12.29,390.02,1.8333,0.67393,0.95419,1.415859214
214.98,0.46461,1136.9,52.837,0.26329,12.395,390.11,1.8322,0.6746,0.95552,1.416424548
215.19,0.46879,1136.2,53.214,0.26502,12.501,390.2,1.831,0.67527,0.95684,1.416973951
215.4,0.473,1135.5,53.592,0.26676,12.607,390.3,1.8299,0.67594,0.95818,1.417551854
215.61,0.47724,1134.8,53.969,0.26849,12.714,390.39,1.8288,0.67661,0.95951,1.418113832
215.82,0.48151,1134.1,54.346,0.27022,12.822,390.48,1.8277,0.67728,0.96086,1.418704229
216.04,0.4858,1133.4,54.724,0.27195,12.931,390.57,1.8265,0.67795,0.9622,1.419278708
216.25,0.49013,1132.7,55.102,0.27368,13.04,390.66,1.8254,0.67862,0.96355,1.419866788
216.46,0.49448,1132,55.48,0.27541,13.15,390.75,1.8243,0.67929,0.96491,1.42046843
216.67,0.49886,1131.3,55.858,0.27714,13.261,390.84,1.8232,0.67997,0.96627,1.421047987
216.88,0.50328,1130.6,56.236,0.27887,13.372,390.93,1.8221,0.68064,0.96763,1.421647273
217.1,0.50772,1129.9,56.614,0.28059,13.484,391.02,1.821,0.68131,0.969,1.422260058
217.31,0.51219,1129.2,56.993,0.28232,13.597,391.11,1.8198,0.68199,0.97037,1.422850775
217.52,0.51669,1128.5,57.372,0.28404,13.711,391.2,1.8187,0.68266,0.97175,1.423475815
217.73,0.52122,1127.8,57.75,0.28576,13.825,391.29,1.8176,0.68334,0.97313,1.424078789
217.94,0.52578,1127.1,58.129,0.28748,13.94,391.37,1.8165,0.68401,0.97452,1.424716013
218.16,0.53037,1126.4,58.508,0.2892,14.056,391.46,1.8154,0.68469,0.97591,1.425331172
218.37,0.53499,1125.7,58.888,0.29092,14.172,391.55,1.8143,0.68536,0.97731,1.425980507
218.58,0.53964,1125,59.267,0.29264,14.29,391.64,1.8132,0.68604,0.97871,1.426607778
218.79,0.54432,1124.3,59.647,0.29436,14.408,391.72,1.8121,0.68672,0.98011,1.427233807
219,0.54903,1123.6,60.026,0.29607,14.526,391.81,1.811,0.6874,0.98152,1.427873145
219.22,0.55377,1122.9,60.406,0.29779,14.646,391.9,1.81,0.68807,0.98294,1.428546514
219.43,0.55855,1122.2,60.786,0.2995,14.766,391.98,1.8089,0.68875,0.98436,1.429197822
219.64,0.56335,1121.5,61.166,0.30121,14.887,392.07,1.8078,0.68943,0.98578,1.429847845
219.85,0.56818,1120.8,61.547,0.30292,15.009,392.15,1.8067,0.69011,0.98721,1.430511078
220.06,0.57305,1120.1,61.927,0.30463,15.132,392.24,1.8056,0.69079,0.98865,1.431187481
220.28,0.57794,1119.4,62.308,0.30634,15.255,392.32,1.8045,0.69147,0.99009,1.431862554
220.49,0.58287,1118.6,62.689,0.30805,15.38,392.41,1.8035,0.69215,0.99153,1.4325363
220.7,0.58783,1117.9,63.07,0.30976,15.505,392.49,1.8024,0.69283,0.99298,1.433223157
220.91,0.59282,1117.2,63.451,0.31146,15.63,392.57,1.8013,0.69351,0.99444,1.433923087
221.12,0.59784,1116.5,63.832,0.31317,15.757,392.66,1.8002,0.69419,0.9959,1.434621645
221.33,0.6029,1115.8,64.214,0.31487,15.884,392.74,1.7992,0.69488,0.99736,1.435298181
221.55,0.60798,1115.1,64.595,0.31658,16.012,392.82,1.7981,0.69556,0.99883,1.436008396
221.76,0.6131,1114.4,64.977,0.31828,16.141,392.91,1.797,0.69624,1.0003,1.436717224
221.97,0.61825,1113.6,65.359,0.31998,16.271,392.99,1.796,0.69692,1.0018,1.437467715
222.18,0.62344,1112.9,65.741,0.32168,16.402,393.07,1.7949,0.69761,1.0033,1.438196127
222.39,0.62865,1112.2,66.123,0.32338,16.533,393.15,1.7939,0.69829,1.0048,1.438943705
222.61,0.6339,1111.5,66.506,0.32507,16.665,393.23,1.7928,0.69898,1.0063,1.439669232
222.82,0.63918,1110.8,66.889,0.32677,16.798,393.31,1.7917,0.69966,1.0078,1.440413915
223.03,0.64449,1110.1,67.271,0.32847,16.932,393.39,1.7907,0.70035,1.0093,1.441136575
223.24,0.64984,1109.3,67.654,0.33016,17.067,393.47,1.7896,0.70103,1.0108,1.441878379
223.45,0.65522,1108.6,68.037,0.33185,17.202,393.55,1.7886,0.70172,1.0123,1.442598187
223.67,0.66063,1107.9,68.421,0.33355,17.339,393.63,1.7875,0.7024,1.0138,1.44333713
223.88,0.66608,1107.2,68.804,0.33524,17.476,393.71,1.7865,0.70309,1.0153,1.444054104
224.09,0.67155,1106.4,69.188,0.33693,17.614,393.79,1.7854,0.70378,1.0169,1.444911762
224.3,0.67707,1105.7,69.572,0.33862,17.753,393.87,1.7844,0.70446,1.0184,1.445646311
224.51,0.68261,1105,69.956,0.34031,17.893,393.94,1.7834,0.70515,1.02,1.446500745
224.73,0.68819,1104.3,70.34,0.342,18.033,394.02,1.7823,0.70584,1.0215,1.447211833
224.94,0.69381,1103.5,70.724,0.34368,18.175,394.1,1.7813,0.70653,1.0231,1.448063069
225.15,0.69946,1102.8,71.109,0.34537,18.317,394.17,1.7803,0.70722,1.0246,1.448771245
225.36,0.70514,1102.1,71.494,0.34706,18.46,394.25,1.7792,0.70791,1.0262,1.449619302
225.57,0.71086,1101.4,71.879,0.34874,18.604,394.33,1.7782,0.7086,1.0278,1.450465707
225.79,0.71661,1100.6,72.264,0.35042,18.749,394.4,1.7772,0.70929,1.0293,1.451169479
226,0.7224,1099.9,72.649,0.35211,18.895,394.48,1.7761,0.70998,1.0309,1.452012733
226.21,0.72822,1099.2,73.035,0.35379,19.042,394.55,1.7751,0.71067,1.0325,1.452854349
226.42,0.73407,1098.4,73.42,0.35547,19.189,394.63,1.7741,0.71136,1.0341,1.453694332
226.63,0.73996,1097.7,73.806,0.35715,19.338,394.7,1.7731,0.71205,1.0357,1.454532687
226.85,0.74589,1097,74.192,0.35883,19.487,394.77,1.772,0.71274,1.0373,1.455369419
227.06,0.75185,1096.2,74.578,0.3605,19.638,394.85,1.771,0.71343,1.0389,1.456204533
227.27,0.75785,1095.5,74.965,0.36218,19.789,394.92,1.77,0.71412,1.0406,1.457178065
227.48,0.76388,1094.8,75.351,0.36386,19.941,394.99,1.769,0.71482,1.0422,1.457989424
227.69,0.76995,1094,75.738,0.36553,20.094,395.06,1.768,0.71551,1.0438,1.458819583
227.91,0.77605,1093.3,76.125,0.36721,20.248,395.14,1.767,0.7162,1.0455,1.459787769
228.12,0.78219,1092.6,76.512,0.36888,20.403,395.21,1.7659,0.7169,1.0471,1.460594225
228.33,0.78836,1091.8,76.9,0.37055,20.559,395.28,1.7649,0.71759,1.0488,1.461558829
228.54,0.79458,1091.1,77.287,0.37222,20.716,395.35,1.7639,0.71829,1.0504,1.462361999
228.75,0.80082,1090.3,77.675,0.3739,20.873,395.42,1.7629,0.71898,1.0521,1.463323041
228.97,0.80711,1089.6,78.063,0.37557,21.032,395.49,1.7619,0.71968,1.0537,1.464122944
229.18,0.81343,1088.8,78.451,0.37723,21.192,395.56,1.7609,0.72037,1.0554,1.465080445
229.39,0.81979,1088.1,78.84,0.3789,21.352,395.63,1.7599,0.72107,1.0571,1.466015782
229.6,0.82618,1087.4,79.228,0.38057,21.514,395.7,1.7589,0.72176,1.0588,1.46696963
229.81,0.83261,1086.6,79.617,0.38224,21.676,395.77,1.7579,0.72246,1.0605,1.467901337
230.03,0.83908,1085.9,80.006,0.3839,21.84,395.83,1.7569,0.72316,1.0622,1.468831241
230.24,0.84559,1085.1,80.395,0.38557,22.004,395.9,1.7559,0.72385,1.0639,1.46977965
230.45,0.85213,1084.4,80.785,0.38723,22.169,395.97,1.7549,0.72455,1.0656,1.470705955
230.66,0.85871,1083.6,81.174,0.3889,22.336,396.03,1.7539,0.72525,1.0674,1.471768356
230.87,0.86533,1082.9,81.564,0.39056,22.503,396.1,1.7529,0.72595,1.0691,1.472690957
231.09,0.87198,1082.1,81.954,0.39222,22.672,396.17,1.7519,0.72665,1.0708,1.47361178
231.3,0.87868,1081.4,82.344,0.39388,22.841,396.23,1.751,0.72735,1.0726,1.474668316
231.51,0.88541,1080.6,82.735,0.39554,23.011,396.3,1.75,0.72804,1.0743,1.475605736
231.72,0.89218,1079.9,83.126,0.3972,23.183,396.36,1.749,0.72874,1.0761,1.476658342
231.93,0.89899,1079.1,83.516,0.39886,23.355,396.43,1.748,0.72944,1.0778,1.477571836
232.15,0.90583,1078.4,83.908,0.40052,23.528,396.49,1.747,0.73014,1.0796,1.478620539
232.36,0.91272,1077.6,84.299,0.40218,23.703,396.55,1.746,0.73085,1.0814,1.479646986
232.57,0.91964,1076.8,84.69,0.40383,23.878,396.62,1.745,0.73155,1.0832,1.480691682
232.78,0.9266,1076.1,85.082,0.40549,24.055,396.68,1.7441,0.73225,1.085,1.48173438
232.99,0.93361,1075.3,85.474,0.40714,24.232,396.74,1.7431,0.73295,1.0868,1.482775087
233.21,0.94065,1074.6,85.866,0.4088,24.411,396.8,1.7421,0.73365,1.0886,1.483813808
233.42,0.94772,1073.8,86.259,0.41045,24.59,396.87,1.7411,0.73435,1.0904,1.484850548
233.63,0.95484,1073,86.651,0.41211,24.771,396.93,1.7402,0.73506,1.0922,1.485865099
233.84,0.962,1072.3,87.044,0.41376,24.953,396.99,1.7392,0.73576,1.0941,1.487033815
234.05,0.9692,1071.5,87.437,0.41541,25.136,397.05,1.7382,0.73646,1.0959,1.488064525
234.27,0.97644,1070.7,87.831,0.41706,25.319,397.11,1.7373,0.73717,1.0978,1.489208731
234.48,0.98371,1070,88.224,0.41871,25.504,397.17,1.7363,0.73787,1.0996,1.490235407
234.69,0.99103,1069.2,88.618,0.42036,25.69,397.22,1.7353,0.73858,1.1015,1.491375342
234.9,0.99839,1068.4,89.012,0.42201,25.877,397.28,1.7343,0.73928,1.1034,1.492533276
235.11,1.0058,1067.7,89.406,0.42366,26.065,397.34,1.7334,0.73999,1.1052,1.493533696
235.33,1.0132,1066.9,89.801,0.4253,26.255,397.4,1.7324,0.74069,1.1071,1.494687386
235.54,1.0207,1066.1,90.195,0.42695,26.445,397.46,1.7315,0.7414,1.109,1.495818721
235.75,1.0282,1065.4,90.59,0.4286,26.636,397.51,1.7305,0.74211,1.1109,1.496947892
235.96,1.0358,1064.6,90.986,0.43024,26.829,397.57,1.7295,0.74281,1.1129,1.498229695
236.17,1.0434,1063.8,91.381,0.43189,27.023,397.62,1.7286,0.74352,1.1148,1.499354422
236.39,1.051,1063,91.777,0.43353,27.218,397.68,1.7276,0.74423,1.1167,1.500477003
236.6,1.0587,1062.3,92.173,0.43517,27.413,397.73,1.7267,0.74494,1.1186,1.501597444
236.81,1.0664,1061.5,92.569,0.43682,27.61,397.79,1.7257,0.74565,1.1206,1.502849863
237.02,1.0742,1060.7,92.965,0.43846,27.809,397.84,1.7247,0.74635,1.1226,1.504120051
237.23,1.082,1059.9,93.362,0.4401,28.008,397.9,1.7238,0.74706,1.1245,1.50523385
237.45,1.0899,1059.1,93.759,0.44174,28.209,397.95,1.7228,0.74777,1.1265,1.506479265
237.66,1.0977,1058.4,94.156,0.44338,28.41,398,1.7219,0.74848,1.1285,1.507722317
237.87,1.1057,1057.6,94.553,0.44502,28.613,398.05,1.7209,0.74919,1.1305,1.508963013
238.08,1.1137,1056.8,94.951,0.44666,28.817,398.11,1.72,0.7499,1.1325,1.51020136
238.29,1.1217,1056,95.348,0.4483,29.022,398.16,1.719,0.75062,1.1345,1.511417228
238.51,1.1297,1055.2,95.747,0.44994,29.228,398.21,1.7181,0.75133,1.1365,1.512650899
238.72,1.1378,1054.4,96.145,0.45158,29.436,398.26,1.7171,0.75204,1.1385,1.51388224
238.93,1.146,1053.7,96.544,0.45321,29.645,398.31,1.7162,0.75275,1.1406,1.515244105
239.14,1.1542,1052.9,96.942,0.45485,29.855,398.36,1.7153,0.75347,1.1426,1.516450555
239.35,1.1624,1052.1,97.342,0.45648,30.066,398.41,1.7143,0.75418,1.1447,1.51780742
239.57,1.1707,1051.3,97.741,0.45812,30.278,398.46,1.7134,0.75489,1.1468,1.519161732
239.78,1.179,1050.5,98.141,0.45975,30.491,398.5,1.7124,0.75561,1.1488,1.520361033
239.99,1.1874,1049.7,98.541,0.46139,30.706,398.55,1.7115,0.75632,1.1509,1.521710387
240.2,1.1958,1048.9,98.941,0.46302,30.922,398.6,1.7105,0.75704,1.153,1.523037092
240.41,1.2042,1048.1,99.341,0.46465,31.139,398.64,1.7096,0.75775,1.1551,1.524381392
240.63,1.2127,1047.3,99.742,0.46629,31.358,398.69,1.7087,0.75847,1.1573,1.525834904
240.84,1.2212,1046.5,100.14,0.46792,31.578,398.74,1.7077,0.75918,1.1594,1.527174056
241.05,1.2298,1045.7,100.54,0.46955,31.798,398.78,1.7068,0.7599,1.1615,1.528490591
241.26,1.2384,1044.9,100.95,0.47118,32.021,398.83,1.7059,0.76062,1.1637,1.529936105
241.47,1.2471,1044.1,101.35,0.47281,32.244,398.87,1.7049,0.76134,1.1658,1.531247537
241.69,1.2558,1043.3,101.75,0.47444,32.469,398.91,1.704,0.76206,1.168,1.532687715
241.9,1.2646,1042.5,102.15,0.47607,32.695,398.96,1.7031,0.76277,1.1702,1.534145286
242.11,1.2734,1041.7,102.55,0.4777,32.922,399,1.7021,0.76349,1.1724,1.535580034
242.32,1.2822,1040.9,102.96,0.47933,33.151,399.04,1.7012,0.76421,1.1746,1.537012078
242.53,1.2911,1040.1,103.36,0.48095,33.381,399.08,1.7003,0.76493,1.1768,1.538441426
242.75,1.3,1039.3,103.76,0.48258,33.612,399.12,1.6993,0.76565,1.179,1.539868086
242.96,1.309,1038.5,104.17,0.48421,33.845,399.16,1.6984,0.76637,1.1813,1.54142255
243.17,1.3181,1037.7,104.57,0.48583,34.078,399.2,1.6975,0.7671,1.1835,1.542823621
243.38,1.3271,1036.9,104.98,0.48746,34.314,399.24,1.6965,0.76782,1.1858,1.544372379
243.59,1.3362,1036.1,105.38,0.48909,34.55,399.28,1.6956,0.76854,1.1881,1.545918235
243.81,1.3454,1035.2,105.79,0.49071,34.788,399.32,1.6947,0.76926,1.1903,1.547331201
244.02,1.3546,1034.4,106.19,0.49234,35.027,399.36,1.6938,0.76999,1.1926,1.548851284
244.23,1.3639,1033.6,106.6,0.49396,35.268,399.4,1.6928,0.77071,1.195,1.550518353
244.44,1.3732,1032.8,107,0.49558,35.51,399.43,1.6919,0.77144,1.1973,1.552032562
244.65,1.3825,1032,107.41,0.49721,35.753,399.47,1.691,0.77216,1.1996,1.553564028
244.87,1.3919,1031.2,107.81,0.49883,35.998,399.51,1.6901,0.77289,1.202,1.555201905
245.08,1.4014,1030.3,108.22,0.50045,36.244,399.54,1.6891,0.77361,1.2043,1.55672755
245.29,1.4109,1029.5,108.63,0.50208,36.491,399.58,1.6882,0.77434,1.2067,1.558359377
245.5,1.4204,1028.7,109.04,0.5037,36.74,399.61,1.6873,0.77507,1.2091,1.55998813
245.71,1.43,1027.9,109.44,0.50532,36.99,399.65,1.6864,0.7758,1.2115,1.561613818
245.93,1.4396,1027,109.85,0.50694,37.242,399.68,1.6855,0.77652,1.2139,1.563256581
246.14,1.4493,1026.2,110.26,0.50856,37.495,399.71,1.6845,0.77725,1.2163,1.564876166
246.35,1.459,1025.4,110.67,0.51018,37.75,399.74,1.6836,0.77798,1.2187,1.566492712
246.56,1.4688,1024.5,111.08,0.5118,38.006,399.78,1.6827,0.77871,1.2212,1.568234644
246.77,1.4786,1023.7,111.48,0.51342,38.263,399.81,1.6818,0.77944,1.2236,1.569845017
246.98,1.4885,1022.9,111.89,0.51504,38.522,399.84,1.6809,0.78017,1.2261,1.571580553
247.2,1.4984,1022.1,112.3,0.51666,38.783,399.87,1.68,0.78091,1.2286,1.573292697
247.41,1.5084,1021.2,112.71,0.51828,39.044,399.9,1.679,0.78164,1.2311,1.575021749
247.62,1.5184,1020.4,113.12,0.51989,39.308,399.93,1.6781,0.78237,1.2336,1.576747575
247.83,1.5284,1019.5,113.54,0.52151,39.572,399.95,1.6772,0.78311,1.2362,1.578577722
248.04,1.5385,1018.7,113.95,0.52313,39.839,399.98,1.6763,0.78384,1.2387,1.580296999
248.26,1.5487,1017.9,114.36,0.52475,40.107,400.01,1.6754,0.78458,1.2413,1.58212037
248.47,1.5589,1017,114.77,0.52636,40.376,400.04,1.6745,0.78531,1.2439,1.583960474
248.68,1.5692,1016.2,115.18,0.52798,40.647,400.06,1.6735,0.78605,1.2465,1.585776986
248.89,1.5795,1015.3,115.59,0.5296,40.919,400.09,1.6726,0.78678,1.2491,1.58761026
249.1,1.5898,1014.5,116.01,0.53121,41.193,400.11,1.6717,0.78752,1.2517,1.589419951
249.32,1.6002,1013.6,116.42,0.53283,41.468,400.14,1.6708,0.78826,1.2543,1.591226245
249.53,1.6107,1012.8,116.83,0.53444,41.745,400.16,1.6699,0.789,1.257,1.593155894
249.74,1.6212,1011.9,117.25,0.53606,42.024,400.18,1.669,0.78974,1.2596,1.594955302
249.95,1.6318,1011.1,117.66,0.53768,42.304,400.21,1.6681,0.79048,1.2623,1.596877846
250.16,1.6424,1010.2,118.07,0.53929,42.586,400.23,1.6672,0.79122,1.265,1.598796795
250.38,1.653,1009.4,118.49,0.5409,42.869,400.25,1.6663,0.79196,1.2677,1.600712157
250.59,1.6637,1008.5,118.9,0.54252,43.154,400.27,1.6653,0.7927,1.2705,1.602750095
250.8,1.6745,1007.7,119.32,0.54413,43.441,400.29,1.6644,0.79345,1.2732,1.604637973
251.01,1.6853,1006.8,119.73,0.54575,43.729,400.31,1.6635,0.79419,1.276,1.606668429
251.22,1.6961,1006,120.15,0.54736,44.019,400.33,1.6626,0.79493,1.2788,1.608695105
251.44,1.707,1005.1,120.57,0.54897,44.31,400.35,1.6617,0.79568,1.2816,1.610697768
251.65,1.718,1004.2,120.98,0.55059,44.603,400.36,1.6608,0.79642,1.2844,1.612716908
251.86,1.729,1003.4,121.4,0.5522,44.898,400.38,1.6599,0.79717,1.2872,1.614712044
