Temperature_K,Pressure_MPa,rho_L_kgm3,h_L_kJkg,s_L_kJkgK,rho_V_kgm3,h_V_kJkg,s_V_kJkgK,Cv_V_J_gK,Cp_V_J_gK,gamma_V
303.58,6.3675,682.26,248.46,0.98717,237.62,363.8,1.3671,1.0671,7.1971,6.74454128
303.8,6.3969,679.31,249.33,0.9899,240.12,363.11,1.3644,1.0695,7.4388,6.955399719
304.01,6.4264,676.3,250.22,0.99268,242.69,362.4,1.3617,1.0721,7.6992,7.181419644
304.22,6.4561,673.21,251.12,0.99551,245.32,361.67,1.3589,1.0746,7.9806,7.426577331
304.43,6.4859,670.05,252.04,0.99838,248.04,360.92,1.356,1.0772,8.2858,7.691979205
304.64,6.5158,666.81,252.98,1.0013,250.84,360.15,1.3531,1.0799,8.6177,7.980090749
304.86,6.5459,663.47,253.94,1.0043,253.73,359.34,1.3501,1.0826,8.9801,8.294938112
305.07,6.5761,660.04,254.91,1.0074,256.72,358.51,1.347,1.0854,9.3774,8.639579878
305.28,6.6064,656.5,255.91,1.0105,259.81,357.65,1.3437,1.0883,9.8149,9.018561059
305.49,6.6368,652.86,256.93,1.0137,263.01,356.76,1.3404,1.0912,10.299,9.438233138
305.7,6.6674,649.08,257.98,1.0169,266.34,355.82,1.337,1.0942,10.838,9.904953391
305.92,6.6981,645.18,259.05,1.0203,269.8,354.85,1.3335,1.0973,11.441,10.42650141
306.13,6.729,641.12,260.16,1.0238,273.41,353.84,1.3298,1.1005,12.121,11.01408451
306.34,6.7599,636.9,261.3,1.0273,277.19,352.77,1.3259,1.1038,12.893,11.68055807
306.55,6.7911,632.49,262.49,1.031,281.15,351.66,1.3219,1.1071,13.778,12.44512691
306.76,6.8224,627.87,263.71,1.0349,285.32,350.48,1.3177,1.1106,14.801,13.32703043
306.98,6.8538,623.01,264.99,1.0389,289.73,349.23,1.3133,1.1142,15.999,14.35918148
307.19,6.8854,617.87,266.32,1.043,294.41,347.91,1.3086,1.1179,17.42,15.58278916
307.4,6.9171,612.42,267.73,1.0474,299.41,346.5,1.3037,1.1217,19.133,17.0571454
307.61,6.949,606.59,269.21,1.0521,304.78,344.98,1.2984,1.1257,21.237,18.86559474
307.82,6.9811,600.31,270.79,1.057,310.6,343.33,1.2927,1.1299,23.883,21.13726878
308.04,7.0133,593.48,272.48,1.0624,316.96,341.54,1.2866,1.1342,27.311,24.07952742
308.25,7.0458,585.94,274.33,1.0682,324.02,339.55,1.2798,1.1388,31.924,28.03301721
308.46,7.0784,577.47,276.37,1.0746,331.98,337.3,1.2722,1.1436,38.456,33.62714236
308.67,7.1112,567.74,278.69,1.082,341.2,334.72,1.2635,1.1486,48.401,42.13912589
308.88,7.1442,556.13,281.42,1.0906,352.27,331.64,1.2532,1.1538,65.307,56.60166407
309.1,7.1774,541.36,284.85,1.1015,366.43,327.74,1.2403,1.1592,100.08,86.33540373
309.31,7.2109,519.94,289.76,1.1172,387.12,322.14,1.2219,1.1641,208.96,179.5034791
