t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma
0,0,0,50,0,0,0.0000000000000010377548230581156,80.00000000000033,0,0,5.127083040213142,5.127083040741833
1,0,0,50,0,0,-0.11707292399466938,79.99419311704543,0,0,5.129685240788333,5.129685241192337
2,0,0,49.99707317690013,0,0,-0.2340807929749601,79.98838370868394,0,0,5.13404582064338,5.134045820847972
3,0,0,49.991221157075756,0,0,-0.35097964745887456,79.98256978436612,0,0,5.138452178711641,5.138452178792481
4,0,0,49.98244666588929,0,0,-0.4677683429910826,79.97675129330334,0,0,5.141767439781153,5.141767439927741
5,0,0,49.97075245731451,0,0,-0.5844741569965528,79.97092947191476,0,0,5.144308138077451,5.14430813840365
6,0,0,49.9561406033896,0,0,-0.7011164535446155,79.96510519790031,0,0,5.146795461944531,5.146795462451227
7,0,0,49.93861269205099,0,0,-0.8176965669960014,79.95927853228036,0,0,5.149360871418143,5.149360872038504
8,0,0,49.91817027787609,0,0,-0.9342125452105466,79.95344938724935,0,0,5.151876508639526,5.151876509266048
9,0,0,49.89481496424582,0,0,-1.0506656324945578,79.9476178197476,0,0,5.154263954739379,5.154263955304812
10,0,0,49.86854832343346,0,0,-1.1670590336260722,79.94178397545531,0,0,5.156575799956479,5.156575800449875
11,0,0,49.83937184759281,0,0,-1.2833946386271593,79.93594794049227,0,0,5.158844278074898,5.1588442785245485
12,0,0,49.80728698162713,0,0,-1.399673531675286,79.93010976447637,0,0,5.161090148174238,5.161090148612749
13,0,0,49.77229514333525,0,0,-1.515896277970929,79.9242694735212,0,0,5.163314651128046,5.163314651573495
14,0,0,49.73439773638597,0,0,-1.6320634116927268,79.91842709232922,0,0,5.16551667129367,5.16551667174706
15,0,0,49.69359615109366,0,0,-1.7481754949103843,79.91258264685791,0,0,5.16770097813124,5.167700978583027
16,0,0,49.6498917637209,0,0,-1.8642329704571026,79.90673615766212,0,0,5.16988588280774,5.1698858832457555
17,0,0,49.603285939459475,0,0,-1.9802358233869082,79.90088762457651,0,0,5.172090158095819,5.172090158508874
18,0,0,49.553780043874795,0,0,-2.096183569434512,79.89503702620149,0,0,5.174320441985507,5.174320442363908
19,0,0,49.50137545463894,0,0,-2.212075558384873,79.88918433363615,0,0,5.1765573852140445,5.176557385554039
20,0,0,49.44607356567932,0,0,-2.327911623754521,79.8833295398723,0,0,5.178826456871284,5.178826457172008
21,0,0,49.387875775085455,0,0,-2.4436909623327385,79.87747260910034,0,0,5.1811341464343155,5.181134146700621
22,0,0,49.32678350102714,0,0,-2.5594126086718796,79.87161349818385,0,0,5.183473670795356,5.183473671037218
23,0,0,49.26279818581035,0,0,-2.675075766901995,79.86575217166896,0,0,5.185697980706826,5.185697980942062
24,0,0,49.19592129163779,0,0,-2.7906833173843233,79.85988876037335,0,0,5.18796754301034,5.187967543251926
25,0,0,49.126154208703184,0,0,-2.9062341288090643,79.85402321365875,0,0,5.190247108673269,5.190247108935392
26,0,0,49.05349835548296,0,0,-3.0217279510922315,79.84815552075004,0,0,5.192578934098351,5.192578934389025
27,0,0,48.977955156705654,0,0,-3.137163477739772,79.84228562310966,0,0,5.195007910981046,5.195007911303066
28,0,0,48.89952606976216,0,0,-3.252538279965245,79.83641341147518,0,0,5.197567202598892,5.197567202946611
29,0,0,48.818212612763034,0,0,-3.3678490999002717,79.83053873913488,0,0,5.2002705716209325,5.2002705719873035
30,0,0,48.73401638526552,0,0,-3.483092335609748,79.82466144386686,0,0,5.203118433021579,5.2031184333957645
31,0,0,48.64693907687528,0,0,-3.5982643747842076,79.818781363028,0,0,5.206036515489906,5.206036515861342
32,0,0,48.55698246750568,0,0,-3.713363461896959,79.81289841794917,0,0,5.20914397045525,5.209143970812868
33,0,0,48.46414838095826,0,0,-3.8283848626355774,79.80701239535594,0,0,5.212365977206146,5.212365977543733
34,0,0,48.36843875939236,0,0,-3.943325713205423,79.80112316657068,0,0,5.215690717901977,5.21569071821733
35,0,0,48.269855616562225,0,0,-4.058183445257873,79.79523061630539,0,0,5.219113376171881,5.2191133764641116
36,0,0,48.16840103043078,0,0,-4.172955610853576,79.78933463474782,0,0,5.222621663601181,5.2226216638752
37,0,0,48.06407714015945,0,0,-4.287640069263545,79.78343512599893,0,0,5.226184580225575,5.226184580485329
38,0,0,47.956886138427855,0,0,-4.402235454757904,79.77753202920319,0,0,5.229851906257513,5.229851906508042
39,0,0,47.84683025205891,0,0,-4.516739157101466,79.77162522730143,0,0,5.2335841710256,5.233584171270687
40,0,0,47.733911773131375,0,0,-4.631149552825826,79.76571464784539,0,0,5.237379324074043,5.237379324313476
41,0,0,47.61813303431073,0,0,-4.7454650697239735,79.75980022072417,0,0,5.241235040024096,5.24123504025985
42,0,0,47.49949640756763,0,0,-4.85968419372337,79.7538818784743,0,0,5.2451396328312265,5.245139633062283
43,0,0,47.37800430272455,0,0,-4.97380570290259,79.74795956684738,0,0,5.249099046431893,5.249099046660469
44,0,0,47.25365916015198,0,0,-5.087828226741792,79.7420332249012,0,0,5.253099465798098,5.253099466019459
45,0,0,47.12646345448344,0,0,-5.201750740096839,79.73610280730863,0,0,5.2571453488779625,5.257145349094107
46,0,0,46.99641968598102,0,0,-5.315572106374889,79.73016826372438,0,0,5.261238810540955,5.26123881075177
47,0,0,46.863530383321645,0,0,-5.429291136111364,79.7242295414325,0,0,5.265300246959411,5.265300247163694
48,0,0,46.72779810491886,0,0,-5.542908629937378,79.71828667757744,0,0,5.269475522046445,5.2694755222490155
