run id,coarse cgl,fine cgl,ref total T,coarse M,coarse dt,fine M,fine dt
1,10,25,7.5,15,0.5,150,0.05
2,10,35,7.5,15,0.5,300,0.025
3,10,48,7.5,15,0.5,600,0.0125
