group_name,run_name,fine_clarabel_solve_time_s,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
cgl_direct_descent_long,cgl_direct_descent_long_1,1.735719,,
cgl_direct_descent_long,cgl_direct_descent_long_2,1.626005,,
cgl_direct_descent_long,cgl_direct_descent_long_3,1.617862,,
cgl_direct_descent_long,cgl_direct_descent_long_4,1.654224,,
cgl_direct_descent_long,cgl_direct_descent_long_5,1.580015,,
cgl_direct_descent_long,cgl_direct_descent_long_6,1.662741,,
cgl_direct_descent_long,cgl_direct_descent_long_7,1.621185,,
cgl_direct_descent_long,cgl_direct_descent_long_8,1.663168,,
cgl_direct_descent_long,cgl_direct_descent_long_9,1.700312,,
cgl_direct_descent_long,cgl_direct_descent_long_10,1.605993,,
cgl_direct_descent_long,set_1_avg,,1.646722,0.014681
zoh_direct_descent_long,zoh_direct_descent_long_1,1.669067,,
zoh_direct_descent_long,zoh_direct_descent_long_2,1.743117,,
zoh_direct_descent_long,zoh_direct_descent_long_3,1.639222,,
zoh_direct_descent_long,zoh_direct_descent_long_4,1.709333,,
zoh_direct_descent_long,zoh_direct_descent_long_5,1.649850,,
zoh_direct_descent_long,zoh_direct_descent_long_6,1.659327,,
zoh_direct_descent_long,zoh_direct_descent_long_7,1.623791,,
zoh_direct_descent_long,zoh_direct_descent_long_8,1.713677,,
zoh_direct_descent_long,zoh_direct_descent_long_9,1.623053,,
zoh_direct_descent_long,zoh_direct_descent_long_10,1.645868,,
zoh_direct_descent_long,set_1_avg,,1.667631,0.012968
