0.034,-7.3562e-06,-8.485e-06,0.0088047,-0.00076728,-0.00091215,0.49964,-0.061402,-0.075294,14.389,0.17656,-0.13922,-0.084299
0.035,-8.1883e-06,-9.4768e-06,0.0093187,-0.00083211,-0.00099178,0.51401,-0.064827,-0.07963,14.371,0.18163,-0.1431,-0.086718
0.036,-9.0888e-06,-1.0553e-05,0.0098471,-0.00090045,-0.0010759,0.52836,-0.068342,-0.084081,14.353,0.1867,-0.14698,-0.089132
0.037,-1.0061e-05,-1.1717e-05,0.01039,-0.0009724,-0.0011645,0.54269,-0.071946,-0.088649,14.334,0.19176,-0.15085,-0.091543
0.038,-1.1109e-05,-1.2975e-05,0.010947,-0.001048,-0.0012578,0.55701,-0.075638,-0.093331,14.316,0.19682,-0.15471,-0.09395
0.039,-1.2237e-05,-1.4331e-05,0.011518,-0.0011275,-0.001356,0.57131,-0.079419,-0.098127,14.298,0.20186,-0.15857,-0.096353
0.04,-1.3447e-05,-1.579e-05,0.012104,-0.0012107,-0.001459,0.58559,-0.083288,-0.10304,14.28,0.2069,-0.16243,-0.098751
0.041,-1.4745e-05,-1.7357e-05,0.012704,-0.001298,-0.0015671,0.59985,-0.087245,-0.10806,14.262,0.21193,-0.16628,-0.10115
0.042,-1.6135e-05,-1.9037e-05,0.013318,-0.0013893,-0.0016803,0.61409,-0.09129,-0.1132,14.243,0.21696,-0.17013,-0.10354
0.043,-1.7619e-05,-2.0836e-05,0.013946,-0.0014847,-0.0017987,0.62832,-0.095422,-0.11845,14.225,0.22197,-0.17397,-0.10592
0.044,-1.9204e-05,-2.2759e-05,0.014588,-0.0015843,-0.0019225,0.64253,-0.099641,-0.12381,14.207,0.22698,-0.17781,-0.1083
0.045,-2.0892e-05,-2.481e-05,0.015245,-0.0016883,-0.0020518,0.65672,-0.10395,-0.12928,14.189,0.23198,-0.18165,-0.11068
0.046,-2.2689e-05,-2.6997e-05,0.015916,-0.0017966,-0.0021867,0.67089,-0.10834,-0.13487,14.171,0.23697,-0.18547,-0.11306
0.047,-2.4598e-05,-2.9324e-05,0.016601,-0.0019094,-0.0023272,0.68504,-0.11282,-0.14056,14.153,0.24196,-0.1893,-0.11542
0.048,-2.6625e-05,-3.1798e-05,0.0173,-0.0020268,-0.0024736,0.69917,-0.11738,-0.14637,14.135,0.24693,-0.19312,-0.11779
0.049,-2.8774e-05,-3.4424e-05,0.018014,-0.0021489,-0.0026259,0.71329,-0.12204,-0.15228,14.117,0.2519,-0.19693,-0.12015
0.05,-3.1049e-05,-3.7208e-05,0.018741,-0.0022756,-0.0027842,0.72739,-0.12677,-0.15831,14.099,0.25686,-0.20074,-0.12251
0.051,-3.3457e-05,-4.0157e-05,0.019482,-0.0024072,-0.0029486,0.74147,-0.13159,-0.16444,14.081,0.26181,-0.20455,-0.12486
0.052,-3.6e-05,-4.3276e-05,0.020238,-0.0025437,-0.0031193,0.75553,-0.1365,-0.17068,14.063,0.26676,-0.20835,-0.1272
0.053,-3.8686e-05,-4.6572e-05,0.021008,-0.0026852,-0.0032963,0.76958,-0.14149,-0.17703,14.045,0.27169,-0.21215,-0.12955
0.054,-4.1517e-05,-5.0052e-05,0.021791,-0.0028318,-0.0034798,0.78361,-0.14657,-0.18349,14.027,0.27662,-0.21594,-0.13188
0.055,-4.4501e-05,-5.3722e-05,0.022589,-0.0029835,-0.0036699,0.79761,-0.15173,-0.19005,14.009,0.28154,-0.21973,-0.13422
