group_name,run_name,fine_clarabel_solve_time_s,set_avg_fine_clarabel_solve_time_s
cgl_offset_limited_descent_extreme_long,cgl_offset_limited_descent_extreme_long_1,1911.764770,
cgl_offset_limited_descent_extreme_long,set_1_avg,,1911.764770
