Iteration,x,y,z,vx,vy,vz,theta_x,theta_y,theta_z,omega_x,omega_y,omega_z,thrust,a,b
36,-0.000703,0.044020,-0.000083,-0.005090,0.322278,-0.000609,-0.000019,-0.000010,-0.000032,-0.000132,-0.000073,-0.000276,0.000000,0.000000,0.000000
37,-0.000767,0.045105,-0.000086,-0.005523,0.328022,-0.000624,-0.000017,-0.000008,-0.000034,-0.000128,-0.000067,-0.000244,0.000000,0.000000,0.000000
38,-0.000832,0.046173,-0.000088,-0.005964,0.333623,-0.000635,-0.000020,-0.000000,-0.000032,-0.000133,-0.000030,-0.000240,0.000000,0.000000,0.000000
39,-0.000903,0.047230,-0.000089,-0.006425,0.339044,-0.000641,-0.000017,-0.000005,-0.000026,-0.000135,-0.000016,-0.000207,0.000000,0.000000,0.000000
40,-0.000960,0.048264,-0.000090,-0.006850,0.344267,-0.000646,-0.000025,-0.000002,-0.000017,-0.000152,-0.000022,-0.000151,0.000000,0.000000,0.000000
41,-0.001002,0.049292,-0.000092,-0.007161,0.349312,-0.000652,-0.000026,-0.000004,-0.000019,-0.000182,-0.000018,-0.000124,0.000000,0.000000,0.000000
42,-0.001060,0.050305,-0.000092,-0.007475,0.354213,-0.000655,-0.000029,-0.000009,-0.000018,-0.000198,-0.000043,-0.000126,0.000000,0.000000,0.000000
43,-0.001120,0.051310,-0.000093,-0.007851,0.358969,-0.000655,-0.000031,-0.000008,-0.000021,-0.000213,-0.000059,-0.000132,0.000000,0.000000,0.000000
44,-0.001178,0.052296,-0.000093,-0.008218,0.363565,-0.000654,-0.000027,-0.000009,-0.000022,-0.000204,-0.000057,-0.000145,0.000000,0.000000,0.000000
45,-0.001234,0.053273,-0.000093,-0.008569,0.368002,-0.000650,-0.000022,-0.000013,-0.000021,-0.000170,-0.000075,-0.000146,0.000000,0.000000,0.000000
46,-0.001288,0.054241,-0.000093,-0.008902,0.372316,-0.000645,-0.000018,-0.000019,-0.000020,-0.000137,-0.000110,-0.000140,0.000000,0.000000,0.000000
47,-0.001352,0.055191,-0.000093,-0.009256,0.376479,-0.000642,-0.000017,-0.000017,-0.000025,-0.000120,-0.000123,-0.000153,0.000000,0.000000,0.000000
48,-0.001414,0.056137,-0.000093,-0.009636,0.380514,-0.000638,-0.000024,-0.000013,-0.000023,-0.000139,-0.000103,-0.000161,0.000000,0.000000,0.000000
49,-0.001477,0.057073,-0.000094,-0.010007,0.384446,-0.000636,-0.000022,-0.000012,-0.000025,-0.000154,-0.000085,-0.000158,0.000000,0.000000,0.000000
50,-0.001539,0.057995,-0.000094,-0.010373,0.388246,-0.000635,-0.000016,-0.000012,-0.000027,-0.000126,-0.000080,-0.000173,0.000000,0.000000,0.000000
51,-0.001606,0.058903,-0.000094,-0.010748,0.391903,-0.000630,-0.000011,-0.000008,-0.000032,-0.000087,-0.000065,-0.000195,0.000000,0.000000,0.000000
52,-0.001668,0.059803,-0.000094,-0.011117,0.395435,-0.000625,-0.000010,-0.000012,-0.000028,-0.000064,-0.000065,-0.000198,0.000000,0.000000,0.000000
53,-0.001727,0.060690,-0.000094,-0.011456,0.398856,-0.000622,-0.000005,-0.000016,-0.000026,-0.000043,-0.000091,-0.000175,0.000000,0.000000,0.000000
54,-0.001781,0.061569,-0.000095,-0.011766,0.402165,-0.000619,-0.000006,-0.000010,-0.000020,-0.000028,-0.000082,-0.000147,0.000000,0.000000,0.000000
55,-0.001837,0.062444,-0.000095,-0.012062,0.405390,-0.000615,-0.000006,-0.000011,-0.000025,-0.000034,-0.000067,-0.000143,0.000000,0.000000,0.000000
56,-0.001893,0.063311,-0.000094,-0.012359,0.408535,-0.000609,-0.000012,-0.000011,-0.000021,-0.000055,-0.000072,-0.000144,0.000000,0.000000,0.000000
