a_rad,b_rad,CoM_x,CoM_y,CoM_z
-1.0,-1.0,-0.0005259193655049354,-0.0005259193655049354,0.011925377882335176
-1.0,-0.9591836734693877,-0.0005259193655049354,-0.000511701947389011,0.01194655676786468
-1.0,-0.9183673469387755,-0.0005259193655049354,-0.0004966321662389858,0.011967137872457128
-1.0,-0.8775510204081632,-0.0005259193655049354,-0.0004807351244107327,0.011987086913317922
-1.0,-0.8367346938775511,-0.0005259193655049354,-0.000464037302262349,0.01200637066050709
-1.0,-0.7959183673469388,-0.0005259193655049354,-0.00044656651404473193,0.012024956992291766
-1.0,-0.7551020408163265,-0.0005259193655049354,-0.00042835186157023404,0.012042814948652676
-1.0,-0.7142857142857143,-0.0005259193655049354,-0.0004094236857365742,0.012059914782855525
-1.0,-0.6734693877551021,-0.0005259193655049354,-0.000389813515986753,0.01207622801100136
-1.0,-0.6326530612244898,-0.0005259193655049354,-0.00036955401778915976,0.012091727459473373
-1.0,-0.5918367346938775,-0.0005259193655049354,-0.0003486789382253548,0.012106387310201114
-1.0,-0.5510204081632654,-0.0005259193655049354,-0.00032722304977616395,0.012120183143666722
-1.0,-0.5102040816326531,-0.0005259193655049354,-0.0003052220923997232,0.01213309197958151
-1.0,-0.4693877551020409,-0.0005259193655049354,-0.0002827127139979573,0.01214509231516519
-1.0,-0.4285714285714286,-0.0005259193655049354,-0.00025973240937065753,0.012156164160963942
-1.0,-0.3877551020408164,-0.0005259193655049354,-0.00023631945775884835,0.012166289074147667
-1.0,-0.34693877551020413,-0.0005259193655049354,-0.00021251285908147633,0.012175450189230965
-1.0,-0.30612244897959184,-0.0005259193655049354,-0.00018835226897163788,0.012183632246166677
-1.0,-0.26530612244897966,-0.0005259193655049354,-0.00016387793272055519,0.012190821615765174
-1.0,-0.22448979591836737,-0.0005259193655049354,-0.00013913061823933557,0.01219700632239706
-1.0,-0.1836734693877552,-0.0005259193655049354,-0.00011415154815018071,0.012202176063941465
-1.0,-0.1428571428571429,-0.0005259193655049354,-8.898233112016483e-05,0.012206322228946723
-1.0,-0.10204081632653073,-0.0005259193655049354,-6.366489255196268e-05,0.012209437910974816
-1.0,-0.061224489795918435,-0.0005259193655049354,-3.824140474697684e-05,0.012211517920105712
-1.0,-0.020408163265306145,-0.0005259193655049354,-1.275421665719682e-05,0.012212558791582426
-1.0,0.020408163265306145,-0.0005259193655049354,1.275421665719682e-05,0.012212558791582426
-1.0,0.06122448979591821,-0.0005259193655049354,3.824140474697669e-05,0.012211517920105712
-1.0,0.1020408163265305,-0.0005259193655049354,6.366489255196255e-05,0.012209437910974816
-1.0,0.1428571428571428,-0.0005259193655049354,8.898233112016476e-05,0.012206322228946723
-1.0,0.18367346938775508,-0.0005259193655049354,0.00011415154815018064,0.012202176063941465
-1.0,0.22448979591836715,-0.0005259193655049354,0.00013913061823933544,0.01219700632239706
-1.0,0.26530612244897944,-0.0005259193655049354,0.00016387793272055505,0.012190821615765174
-1.0,0.30612244897959173,-0.0005259193655049354,0.0001883522689716378,0.012183632246166677
-1.0,0.346938775510204,-0.0005259193655049354,0.00021251285908147627,0.012175450189230965
-1.0,0.3877551020408163,-0.0005259193655049354,0.00023631945775884824,0.012166289074147667
-1.0,0.4285714285714284,-0.0005259193655049354,0.0002597324093706574,0.012156164160963942
-1.0,0.46938775510204067,-0.0005259193655049354,0.0002827127139979572,0.01214509231516519
-1.0,0.510204081632653,-0.0005259193655049354,0.00030522209239972314,0.01213309197958151
-1.0,0.5510204081632653,-0.0005259193655049354,0.0003272230497761639,0.012120183143666722
-1.0,0.5918367346938773,-0.0005259193655049354,0.0003486789382253547,0.012106387310201114
-1.0,0.6326530612244896,-0.0005259193655049354,0.0003695540177891596,0.012091727459473373
-1.0,0.6734693877551019,-0.0005259193655049354,0.00038981351598675287,0.01207622801100136
-1.0,0.7142857142857142,-0.0005259193655049354,0.00040942368573657415,0.012059914782855525
-1.0,0.7551020408163265,-0.0005259193655049354,0.00042835186157023404,0.012042814948652676
-1.0,0.7959183673469385,-0.0005259193655049354,0.0004465665140447319,0.012024956992291766
-1.0,0.8367346938775508,-0.0005259193655049354,0.0004640373022623489,0.01200637066050709
-1.0,0.8775510204081631,-0.0005259193655049354,0.0004807351244107326,0.011987086913317922
-1.0,0.9183673469387754,-0.0005259193655049354,0.0004966321662389858,0.011967137872457128
-1.0,0.9591836734693877,-0.0005259193655049354,0.000511701947389011,0.01194655676786468
-1.0,1.0,-0.0005259193655049354,0.0005259193655049354,0.011925377882335176
-0.9591836734693877,-1.0,-0.000511701947389011,-0.0005259193655049354,0.01194655676786468
-0.9591836734693877,-0.9591836734693877,-0.000511701947389011,-0.000511701947389011,0.011967735653394186
-0.9591836734693877,-0.9183673469387755,-0.000511701947389011,-0.0004966321662389858,0.011988316757986632
-0.9591836734693877,-0.8775510204081632,-0.000511701947389011,-0.0004807351244107327,0.012008265798847426
-0.9591836734693877,-0.8367346938775511,-0.000511701947389011,-0.000464037302262349,0.012027549546036596
-0.9591836734693877,-0.7959183673469388,-0.000511701947389011,-0.00044656651404473193,0.012046135877821272
-0.9591836734693877,-0.7551020408163265,-0.000511701947389011,-0.00042835186157023404,0.012063993834182182
-0.9591836734693877,-0.7142857142857143,-0.000511701947389011,-0.0004094236857365742,0.01208109366838503
-0.9591836734693877,-0.6734693877551021,-0.000511701947389011,-0.000389813515986753,0.012097406896530865
-0.9591836734693877,-0.6326530612244898,-0.000511701947389011,-0.00036955401778915976,0.012112906345002878
