run id,coarse cgl,fine cgl,ref total T,coarse M,coarse dt,fine M,fine dt
1,10,37,7.5,15,0.5,150,0.05
2,10,50,7.5,15,0.5,300,0.025
3,20,63,7.5,15,0.5,600,0.0125
4,10,17,7.5,15,0.5,83.3,0.09
5,10,7,7.5,15,0.5,15,0.5
