0,1,0,-2.3562e-06,0
0.001,1,2.646e-06,-6.7253e-06,-1.2646e-06
0.002,1,7.9353e-06,-1.3105e-05,-3.7926e-06
0.003,1,1.5865e-05,-2.1494e-05,-7.5826e-06
0.004,1,2.6433e-05,-3.1889e-05,-1.2633e-05
0.005,1,3.9636e-05,-4.4289e-05,-1.8943e-05
0.006,1,5.5471e-05,-5.8692e-05,-2.6511e-05
0.007,1,7.3936e-05,-7.5095e-05,-3.5335e-05
0.008,1,9.5027e-05,-9.3497e-05,-4.5415e-05
0.009,1,0.00011874,-0.0001139,-5.6748e-05
0.01,1,0.00014508,-0.00013629,-6.9333e-05
0.011,1,0.00017403,-0.00016067,-8.3169e-05
0.012,1,0.0002056,-0.00018705,-9.8254e-05
0.013,1,0.00023978,-0.00021541,-0.00011459
0.014,1,0.00027657,-0.00024576,-0.00013217
0.015,1,0.00031596,-0.00027809,-0.00015099
0.016,1,0.00035796,-0.0003124,-0.00017105
0.017,1,0.00040256,-0.0003487,-0.00019236
0.018,1,0.00044975,-0.00038697,-0.00021491
0.019,1,0.00049954,-0.00042721,-0.0002387
0.02,1,0.00055191,-0.00046943,-0.00026372
0.021,1,0.00060688,-0.00051362,-0.00028997
0.022,1,0.00066442,-0.00055978,-0.00031746
0.023,1,0.00072455,-0.0006079,-0.00034618
0.024,1,0.00078725,-0.00065799,-0.00037613
0.025,1,0.00085253,-0.00071004,-0.00040731
0.026,1,0.00092037,-0.00076405,-0.00043972
0.027,1,0.00099079,-0.00082002,-0.00047334
0.028,1,0.0010638,-0.00087795,-0.0005082
0.029,1,0.0011393,-0.00093782,-0.00054427
0.03,1,0.0012174,-0.00099965,-0.00058156
0.031,1,0.001298,-0.0010634,-0.00062006
0.032,1,0.0013812,-0.0011292,-0.00065978
0.033,1,0.001467,-0.0011968,-0.00070072
0.034,1,0.0015552,-0.0012664,-0.00074287
0.035,1,0.0016461,-0.001338,-0.00078622
0.036,1,0.0017394,-0.0014115,-0.00083078
0.037,1,0.0018353,-0.0014869,-0.00087655
0.038,1,0.0019337,-0.0015642,-0.00092352
0.039,1,0.0020346,-0.0016435,-0.00097169
0.04,1,0.0021381,-0.0017247,-0.0010211
0.041,1,0.0022441,-0.0018079,-0.0010716
0.042,0.99999,0.0023525,-0.001893,-0.0011234
0.043,0.99999,0.0024635,-0.0019799,-0.0011763
0.044,0.99999,0.002577,-0.0020688,-0.0012305
0.045,0.99999,0.002693,-0.0021597,-0.0012858
0.046,0.99999,0.0028115,-0.0022524,-0.0013424
0.047,0.99999,0.0029325,-0.0023471,-0.0014001
0.048,0.99999,0.003056,-0.0024436,-0.0014589
0.049,0.99999,0.0031819,-0.0025421,-0.001519
0.05,0.99999,0.0033103,-0.0026425,-0.0015803
0.051,0.99999,0.0034413,-0.0027447,-0.0016427
0.052,0.99999,0.0035746,-0.0028489,-0.0017063
0.053,0.99999,0.0037105,-0.002955,-0.001771
0.054,0.99999,0.0038488,-0.0030629,-0.001837
0.055,0.99999,0.0039896,-0.0031728,-0.0019041
0.056,0.99998,0.0041328,-0.0032846,-0.0019723
0.057,0.99998,0.0042785,-0.0033982,-0.0020418
0.058,0.99998,0.0044266,-0.0035137,-0.0021123
0.059,0.99998,0.0045771,-0.0036311,-0.0021841
0.06,0.99998,0.0047301,-0.0037504,-0.002257
0.061,0.99998,0.0048856,-0.0038716,-0.002331
0.062,0.99998,0.0050434,-0.0039946,-0.0024062
0.063,0.99997,0.0052037,-0.0041196,-0.0024826
0.064,0.99997,0.0053664,-0.0042464,-0.0025601
0.065,0.99997,0.0055316,-0.004375,-0.0026387
0.066,0.99997,0.0056991,-0.0045055,-0.0027185
