Time,X,Y,Z,Vx,Vy,Vz,Mass,Thrust_X,Thrust_Y,Thrust_Z,Thrust_Mag
0.05,0.0,0.0,50.00000000000001,0.0,0.0,-0.44965662014951197,72.5883278807857,0.0,0.0,65.43020217997822,65.43020217997822
0.1,0.0,0.0,49.97751716899254,0.0,0.0,-0.8949197514987839,72.58647519737964,0.0,0.0,74.35548982954143,74.35548982954143
0.15000000000000002,0.0,0.0,49.9327711814176,0.0,0.0,-1.3340336948548952,72.58436979440516,0.0,0.0,86.28665106815707,86.28665106815707
0.2,0.0,0.0,49.86606949667486,0.0,0.0,-1.764927329908788,72.5819265619097,0.0,0.0,101.24232664623608,101.24232664623608
0.25,0.0,0.0,49.77782313017943,0.0,0.0,-2.1855163473078663,72.5790598633232,0.0,0.0,118.91867405034088,118.91867405034088
0.30000000000000004,0.0,0.0,49.66854731281404,0.0,0.0,-2.593925304708745,72.5756926667131,0.0,0.0,139.64457270294045,139.64457270294045
0.35000000000000003,0.0,0.0,49.5388510475786,0.0,0.0,-2.9880516456134214,72.57173862977169,0.0,0.0,165.10621247353055,165.10621247353055
0.4,0.0,0.0,49.38944846529794,0.0,0.0,-3.3646303513741587,72.56706366957083,0.0,0.0,198.8633301225352,198.8633301225352
0.45,0.0,0.0,49.22121694772923,0.0,0.0,-3.7179424732119344,72.56143291821931,0.0,0.0,247.95454573402108,247.95454573402108
0.5,0.0,0.0,49.03531982406864,0.0,0.0,-4.037416615154507,72.55441223212532,0.0,0.0,325.08940939116604,325.08940939116604
0.55,0.0,0.0,48.833448993310924,0.0,0.0,-4.303717661112058,72.5452076566413,0.0,0.0,443.1709737215126,443.1709737215126
0.6000000000000001,0.0,0.0,48.61826311025533,0.0,0.0,-4.488605468046283,72.53266001119786,0.0,0.0,569.0786436994626,569.0786436994626
0.65,0.0,0.0,48.393832836853015,0.0,0.0,-4.586646658440648,72.51654789671962,0.0,0.0,634.5192812611983,634.5192812611983
0.7000000000000001,0.0,0.0,48.16450050393098,0.0,0.0,-4.639479512039318,72.49858321548213,0.0,0.0,665.1937306572078,665.1937306572078
0.75,0.0,0.0,47.93252652832902,0.0,0.0,-4.6710487499490085,72.47975018433843,0.0,0.0,684.3073615280945,684.3073615280945
