time,x,y,z,vx,vy,vz,thrust,a,b,xac,yac,zac,vxac,vyac,vzac
0.036,0,0,0.00014114,0,0,0.00749079,7.00991,0,0,-0.0230727,0.271351,9.68849e-07,-0.000336992,0.00396326,1.38704e-08
0.037,0,0,0.000148839,0,0,0.00769857,7.0101,0,0,-0.0231454,0.272206,1.06394e-06,-0.000335576,0.00394661,1.51524e-08
0.038,0,0,0.000156746,0,0,0.00790663,7.0103,0,0,-0.0232149,0.273023,1.16532e-06,-0.000334129,0.00392958,1.65093e-08
0.039,0,0,0.000164861,0,0,0.00811497,7.01049,0,0,-0.0232812,0.273803,1.27319e-06,-0.000332653,0.00391223,1.7943e-08
0.04,0,0,0.000173184,0,0,0.00832359,7.01069,0,0,-0.0233447,0.27455,1.38778e-06,-0.000331153,0.00389459,1.94551e-08
0.041,0,0,0.000181717,0,0,0.00853248,7.01088,0,0,-0.0234055,0.275265,1.50928e-06,-0.000329633,0.00387671,2.10472e-08
0.042,0,0,0.000190458,0,0,0.00874166,7.01108,0,0,-0.0234638,0.27595,1.63793e-06,-0.000328094,0.00385861,2.27211e-08
0.043,0,0,0.000199409,0,0,0.00895112,7.01127,0,0,-0.0235197,0.276608,1.77393e-06,-0.00032654,0.00384034,2.44783e-08
0.044,0,0,0.00020857,0,0,0.00916086,7.01147,0,0,-0.0235734,0.27724,1.91749e-06,-0.000324974,0.00382191,2.63204e-08
0.045,0,0,0.000217941,0,0,0.00937087,7.01167,0,0,-0.023625,0.277846,2.06884e-06,-0.000323396,0.00380336,2.82488e-08
0.046,0,0,0.000227522,0,0,0.00958116,7.01186,0,0,-0.0236747,0.27843,2.22817e-06,-0.00032181,0.00378471,3.02651e-08
0.047,0,0,0.000237314,0,0,0.00979174,7.01206,0,0,-0.0237224,0.278992,2.39571e-06,-0.000320217,0.00376597,3.23706e-08
0.048,0,0,0.000247317,0,0,0.0100026,7.01225,0,0,-0.0237685,0.279533,2.57167e-06,-0.000318618,0.00374717,3.45668e-08
0.049,0,0,0.00025753,0,0,0.0102137,7.01245,0,0,-0.0238128,0.280055,2.75626e-06,-0.000317016,0.00372832,3.68551e-08
0.05,0,0,0.000267956,0,0,0.0104251,7.01264,0,0,-0.0238556,0.280558,2.94968e-06,-0.000315411,0.00370945,3.92367e-08
0.051,0,0,0.000278592,0,0,0.0106368,7.01284,0,0,-0.0238969,0.281044,3.15216e-06,-0.000313805,0.00369056,4.17129e-08
0.052,0,0,0.000289441,0,0,0.0108488,7.01303,0,0,-0.0239368,0.281513,3.36389e-06,-0.000312199,0.00367167,4.42851e-08
0.053,0,0,0.000300502,0,0,0.011061,7.01323,0,0,-0.0239754,0.281967,3.58509e-06,-0.000310593,0.00365278,4.69544e-08
0.054,0,0,0.000311776,0,0,0.0112736,7.01342,0,0,-0.0240127,0.282405,3.81597e-06,-0.000308989,0.00363392,4.97221e-08
0.055,0,0,0.000323262,0,0,0.0114864,7.01362,0,0,-0.0240487,0.282829,4.05673e-06,-0.000307388,0.00361509,5.25893e-08
0.056,0,0,0.000334961,0,0,0.0116994,7.01381,0,0,-0.0240837,0.28324,4.30758e-06,-0.000305789,0.00359629,5.55571e-08
0.057,0,0,0.000346874,0,0,0.0119128,7.01401,0,0,-0.0241175,0.283638,4.56873e-06,-0.000304195,0.00357754,5.86267e-08
0.058,0,0,0.000359001,0,0,0.0121264,7.0142,0,0,-0.0241503,0.284024,4.84039e-06,-0.000302606,0.00355885,6.17992e-08
0.059,0,0,0.000371341,0,0,0.0123403,7.01439,0,0,-0.0241821,0.284398,5.12276e-06,-0.000301021,0.00354022,6.50755e-08
0.06,0,0,0.000383896,0,0,0.0125545,7.01459,0,0,-0.0242129,0.28476,5.41604e-06,-0.000299442,0.00352165,6.84568e-08
0.061,0,0,0.000396665,0,0,0.012769,7.01478,0,0,-0.0242428,0.285112,5.72043e-06,-0.00029787,0.00350315,7.1944e-08
0.062,0,0,0.000409648,0,0,0.0129838,7.01498,0,0,-0.0242719,0.285454,6.03615e-06,-0.000296304,0.00348473,7.55381e-08
