run id,coarse cgl,fine cgl,ref total T,coarse M,coarse dt,fine M,fine dt
1,10,33,12.5,25,0.5,250,0.05
2,10,48,12.5,25,0.5,500,0.025
3,20,62,12.5,25,0.5,1000,0.0125
